Source,Target
206,217
16351,20366
20363,20385
197,168
18701,20559
15762,20496
18699,15760
20366,20390
49,18700
20362,18699
20380,286
20380,57
181,20051
125,265
180,201
20378,213
20496,18699
20364,49
125,18695
20798,19000
11702,1454
20368,168
201,260
18701,264
220,273
15762,201
260,20051
15776,20781
15776,16351
20941,15787
20390,18882
266,20805
18695,20377
99,20399
20916,20389
214,20349
194,220
20380,178
38,20389
180,93
12,20925
213,18700
273,18714
278,21044
20382,224
15776,257
201,152
20496,15787
145,220
20361,286
180,214
125,278
18708,20962
43,20359
20361,18716
244,20349
138,217
224,220
15787,20916
20349,168
15787,18701
201,273
20368,181
15762,214
15770,38
220,18716
20384,125
20371,18882
20767,18882
18717,20378
80,20362
178,18719
214,20362
20361,178
18708,21083
120,18714
125,21044
20363,224
20051,20368
12,20349
20917,15793
20379,168
15760,20382
15779,20395
286,172
57,120
168,20367
18719,18882
20841,20349
208,18719
244,20362
20381,20364
20349,181
21076,18711
164,17629
20392,15800
20365,125
20384,138
20379,18719
20805,168
20415,20362
20051,194
20781,15760
20385,15760
197,20371
20527,20539
15770,172
12,20362
20916,120
20379,181
214,80
38,120
20966,20357
80,20496
18713,17360
235,139
20805,18719
20841,20362
266,20363
49,20365
20362,20364
20381,20377
20496,20364
20365,17629
20917,20357
18717,217
80,201
20380,20381
214,201
20365,138
18882,18714
244,80
235,260
220,20368
19000,18706
20366,15760
178,20371
20364,21083
197,20384
15774,119
265,139
20559,125
130,180
16503,265
20925,182
168,206
18699,18714
80,93
139,20379
213,20365
181,145
273,20379
20415,80
181,20790
244,201
20415,20496
18719,118
21083,20366
260,145
12,80
49,20378
265,260
18714,15760
260,20790
17629,20382
208,20371
20361,20381
80,214
20415,201
181,266
20364,20386
15776,57
18720,235
21076,20363
15787,20366
20841,80
102,20389
181,18696
20559,17629
201,20368
220,20381
220,16180
260,266
12,201
178,20384
109,20779
19928,15776
260,18696
16503,278
20559,16582
34,20376
120,20379
20415,93
15776,178
20841,201
20390,265
118,38
18700,118
20349,20384
20377,15787
20790,20386
113,20376
20380,220
20369,17360
139,97
1845,18719
273,97
20805,20371
172,18704
208,20384
20415,214
16503,21044
20820,18693
20635,217
201,194
21076,20376
220,207
17628,18709
20360,18708
12,19920
18704,20360
20781,18701
201,16180
20375,34
17629,100
20379,20384
20398,20397
20363,145
17141,18712
20391,20394
20371,265
206,164
20642,15775
74,18704
93,18717
49,217
178,102
164,167
145,154
20371,18695
20930,20379
20361,220
120,97
20805,20384
152,49
172,18717
100,1845
20378,20805
20391,99
20349,102
201,207
264,18720
20377,20580
118,172
21083,97
16180,16351
20385,18714
206,18715
15770,20388
18719,18695
48,113
164,18718
208,102
194,167
164,16503
18882,20379
20388,15787
57,20349
16351,139
180,18699
20358,43
16180,257
130,1845
20642,15788
18699,20379
74,18717
20379,102
15762,18699
15774,15784
164,180
145,167
18714,18701
20384,20367
194,18718
16351,260
194,16503
224,167
138,164
1845,20371
20930,97
20366,18714
20380,17629
20371,21044
217,164
16728,20599
18700,18695
145,18718
20805,102
181,20361
145,16503
194,180
18720,20559
235,181
20599,20642
18701,20051
20386,118
21044,118
15762,15787
82,20355
16351,152
138,20930
20372,20599
138,18715
224,18718
20388,164
224,16503
168,127
260,20361
16180,18700
167,168
18882,97
278,20415
18695,20916
18695,18701
20365,180
20747,18712
217,20930
217,18715
1845,197
16351,273
224,180
265,181
18699,97
1845,20384
20355,21076
176,109
18716,19928
139,15762
273,15762
20356,252
20781,20366
20367,118
18696,213
100,235
21075,20355
173,15760
238,20356
152,20841
20353,20370
278,12
20559,16503
125,20415
167,181
15784,18713
20580,118
16582,18693
16503,20386
18695,18714
20916,18726
38,20941
109,176
93,20382
257,74
100,127
15788,109
20559,180
130,235
18694,20411
18717,164
172,20382
20360,199
120,15762
15784,20820
264,20385
20823,20376
20781,20379
20385,20379
206,20380
154,15760
213,125
152,21083
15760,168
125,12
18718,244
21083,15762
130,127
20798,20962
182,20962
180,20364
21044,15770
93,208
18717,20930
18717,18715
80,18699
138,20367
214,18699
49,138
74,20382
15762,20364
20384,1845
164,1845
266,16351
118,20388
18714,20366
172,208
1845,18882
20389,20390
19920,206
15760,18719
20383,20841
181,213
20359,15788
266,257
38,21075
18700,173
257,208
18718,15762
20366,20379
244,18699
260,213
20381,20916
20381,18701
145,20383
213,138
172,100
214,15787
194,1845
273,152
20364,38
20930,15762
206,17360
180,20377
74,208
15776,125
20378,20389
20367,15770
20781,97
138,20380
20385,97
20415,18699
178,265
20376,48
20941,15776
16180,20365
20365,1845
18695,20366
20361,154
20380,167
20779,667
217,20380
18882,15762
20394,20747
20580,15770
15787,139
12,18699
264,224
134,20382
244,15787
20382,213
224,1845
20790,38
20635,164
20368,49
18701,145
20496,15776
220,154
16351,20368
18715,15770
18701,20790
20747,82
18699,15762
20841,18699
266,18700
208,265
20362,20916
20362,18701
18716,130
120,152
15776,17629
15787,260
20380,18718
97,168
138,206
20380,16503
18701,266
20366,97
20635,18715
178,278
12,15787
18701,18696
21083,152
217,206
20383,19928
18695,20379
17629,168
20361,167
120,273
20380,180
139,286
273,286
20375,20747
20364,172
20351,20353
15787,152
16351,194
139,18716
18694,18693
20363,213
273,18716
20411,16728
20841,15787
20349,49
127,168
18713,20369
16351,16180
18696,15770
18714,97
21083,273
164,235
178,21044
49,20930
208,278
49,18715
20373,113
139,178
20361,18718
15787,273
20361,16503
97,181
18716,20559
21076,18700
102,20941
138,20635
113,162
20930,152
20379,49
21075,19000
278,20349
20384,127
18717,20380
80,20364
214,20364
120,286
18716,264
21044,173
217,20635
18720,20385
208,21044
18,238
20386,173
21075,20397
120,18716
127,181
20930,273
21083,286
15760,20384
18882,152
15779,20397
145,235
20388,20635
154,18714
21083,18716
20396,15800
57,20767
119,182
244,20364
224,235
20381,20366
20389,15760
168,74
18717,206
20368,20841
18882,273
20360,12
20365,127
278,20362
102,20365
176,20351
20415,20364
20599,18724
20635,20367
20367,173
20051,20841
20385,15762
20781,15762
15788,43
18718,286
18718,57
20930,286
12,20364
18722,176
273,20368
20580,173
20350,20356
20930,18716
20390,12
38,20767
1845,265
18711,18713
20371,20415
20841,20364
266,20365
18715,173
20559,235
49,20367
20362,20366
1845,18695
18696,20805
15760,102
18718,178
141,20599
17629,20371
20380,20383
20368,21083
125,20362
18882,286
18720,224
102,20378
176,9976
18882,18716
20415,20377
20358,17628
20635,20380
18701,20361
20382,15770
19000,18708
20527,138
20366,15762
1146,119
18719,20415
18699,286
20380,1845
20383,130
278,80
16503,38
264,145
18699,18716
139,20381
213,20367
273,20381
273,16180
20781,139
20371,12
18719,120
20377,15776
1845,278
18696,173
266,20378
21083,20368
18699,178
278,201
264,266
17629,20384
20349,21083
20361,20383
15788,9976
20051,19928
20364,20388
15787,20368
16728,18707
18719,12
18700,20415
178,20386
1845,21044
273,207
125,80
120,20381
120,16180
667,20779
125,20496
19920,20798
15776,180
20781,152
20385,152
181,20805
18700,120
20349,20386
49,206
20790,20388
154,20379
21083,20381
21083,16180
125,201
21076,191
260,20805
15787,194
97,102
208,20386
102,217
21044,20389
20790,93
20395,15779
207,20390
16180,125
20781,273
15787,16180
18714,139
20388,15776
20379,20386
18694,197
20398,20399
139,220
213,206
273,220
19000,20360
20378,18700
20790,214
127,102
20391,20396
20366,152
17360,99
18714,260
20382,20805
266,217
20642,15777
18718,20381
93,18719
20930,20381
20930,16180
20380,235
20916,15787
125,214
220,19928
15787,207
20805,20386
172,18719
20397,20820
20367,20389
16180,138
20366,273
20385,286
20781,286
20823,18713
154,97
18695,139
18714,152
20781,18716
20385,18716
57,164
206,18717
16728,20359
164,18720
120,220
18882,16180
18882,20381
57,20580
20539,20351
20580,20389
152,172
180,20916
180,18701
199,16728
213,1845
109,15788
18715,20389
20363,20805
18695,260
18714,273
18699,20381
21083,220
15762,18701
18725,139
43,121
20361,235
201,19928
194,18720
20386,20415
20527,20354
20366,286
18695,152
20916,164
20366,18716
38,164
167,49
20384,74
20798,20359
19000,199
145,18720
18703,20392
181,20363
38,20580
20051,130
20386,120
20378,20941
180,18714
18718,220
138,18717
224,18720
18696,20389
260,20363
18695,273
20930,220
173,244
19928,181
