Source,Target
21757,21702
21927,22113
20122,21979
22381,21529
20119,20927
22113,21714
21760,22350
20934,20322
21954,29571
29339,21506
22324,21934
29776,21507
21506,31101
20954,21728
20138,22108
22374,20708
21954,20122
22133,22339
22159,21308
22308,22340
22139,29701
22149,21529
21538,21375
39301,21352
22369,21303
21711,21303
21343,20907
22167,22108
21993,21955
22354,21934
20907,21508
21545,29901
21536,31101
29109,22333
20344,22334
21118,21728
22348,21365
21515,21364
22353,21709
22142,20708
29768,22154
22333,21996
21937,21996
22381,20724
21364,22134
20321,22323
29710,22149
20708,20517
21964,21375
20145,21343
20119,20122
21306,21375
22139,22130
22156,21545
21741,21303
22326,21956
21906,21370
20920,21339
29710,29504
21955,29368
14873,22158
29778,20748
21703,21950
20712,22329
20729,21744
22343,22310
20519,21934
22134,22136
15448,21342
21900,21740
22149,20724
29377,21343
21994,21375
21914,29717
22143,20909
22381,29368
21901,22315
21343,29901
21174,21986
22135,29312
21972,21966
29573,29741
20501,20954
22111,22310
29707,29741
20758,21519
21930,21740
29717,22323
20145,20538
21944,29717
21762,21375
22374,22131
20122,21308
21562,20755
21763,21977
21954,21545
22100,21370
22368,22316
22149,29368
20501,21304
21507,29901
21545,21525
21968,22382
21906,21504
22360,20920
21706,22382
21964,20920
22348,15433
21740,21966
15448,20537
20706,20955
20310,20955
21754,15448
21948,21915
21934,20519
29377,20538
20958,21930
21955,39301
21340,15616
29571,21343
21959,21515
21563,21515
29741,21754
20916,21704
21556,20344
21709,21340
22142,22131
21142,20704
22131,21972
21375,29573
20119,21545
22304,21900
21994,20920
21340,22382
22329,29312
21978,21915
29911,21761
20322,21315
22381,39301
21507,21741
21972,22100
21915,21566
21989,21515
22374,21326
22307,20104
21314,22100
21727,21515
22307,29903
22125,21561
21538,21993
22369,21921
21343,21525
22158,20920
21554,21937
22330,22158
22359,29312
20907,22126
20504,20955
22145,22378
29573,21365
20748,21315
22348,21983
29571,20538
22149,39301
21740,22100
21757,21515
22142,21326
21927,21926
22381,21342
20538,20724
21993,29339
21964,21993
21306,21993
22156,22163
21356,22110
21741,21921
15433,31101
29707,21715
22343,21989
22324,21747
22348,22333
20529,22301
21945,21162
20104,21371
22309,22378
20321,29707
21746,20952
21945,22101
22320,21978
22325,22322
20955,21362
22149,21342
20920,22307
21123,20946
21763,21306
22102,21526
21303,21321
20907,21321
20955,22301
21948,20305
22111,21989
22161,21352
20724,22368
20757,22316
21912,39307
22331,21763
29504,20955
21952,21178
21706,21711
22138,22122
22338,22153
20934,22363
22381,20537
21321,21311
21515,22116
21556,22117
21506,20310
21762,21993
21946,22302
20927,22323
21954,22163
22166,20356
22376,21132
21978,20305
29901,21715
21912,21937
22361,21763
21965,21763
22378,21178
21340,21711
29717,29707
20301,20356
29573,15433
22360,21538
21964,21538
29707,15433
20145,21506
21554,29776
21747,21311
22149,20537
22345,22169
22135,22359
21536,20310
22100,22338
21763,20501
29729,29717
22167,21116
20952,21979
21750,21959
21103,22148
22331,20958
21983,21938
22158,29109
21723,20321
21179,22143
20119,22163
21994,21538
20748,29504
20522,20301
20926,20916
21507,22359
22374,21944
21309,22374
21727,22133
21746,22375
21954,21358
21321,15029
21308,22149
22301,20907
22361,20958
21965,20958
21703,20958
21925,21559
22360,20733
29588,21352
29339,39307
22158,21538
21762,21538
29901,15433
21900,20748
21504,20748
21352,29776
21948,21728
29573,21983
22142,21944
15448,14873
21516,20758
20757,20706
21538,20517
