Source,Target
5,39
5,44
5,62
5,69
5,75
5,87
5,112
5,118
5,122
5,123
5,156
5,159
5,160
5,161
5,181
5,209
5,213
5,215
5,219
5,266
5,278
5,286
17,74
17,75
17,95
17,97
17,112
17,118
17,120
17,123
17,156
17,160
17,161
17,181
17,213
17,224
17,231
17,246
17,257
17,266
17,278
17,286
17,384
18,78
18,79
18,101
18,102
18,113
18,118
18,119
18,127
18,161
18,164
18,168
18,192
18,200
18,213
18,263
18,266
24,56
24,72
24,74
24,75
24,78
24,79
24,80
24,81
24,82
24,84
24,88
24,96
24,97
24,101
24,102
24,111
24,112
24,113
24,118
24,119
24,127
24,129
24,130
24,135
24,139
24,153
24,156
24,160
24,161
24,162
24,163
24,164
24,168
24,179
24,181
24,182
24,187
24,192
24,193
24,194
24,200
24,207
24,209
24,212
24,213
24,217
24,219
24,223
24,224
24,231
24,245
24,257
24,261
24,263
24,266
24,278
24,279
24,281
24,286
24,384
28,75
28,97
28,118
28,161
28,181
28,213
28,257
28,266
28,278
33,59
33,62
33,74
33,75
33,84
33,86
33,97
33,100
33,102
33,112
33,118
33,122
33,123
33,127
33,133
33,156
33,159
33,160
33,161
33,164
33,168
33,172
33,181
33,185
33,187
33,191
33,192
33,200
33,208
33,209
33,212
33,213
33,215
33,219
33,231
33,264
33,266
33,278
33,286
38,24
38,59
38,62
38,64
38,74
38,75
38,84
38,86
38,97
38,102
38,112
38,118
38,123
38,133
38,156
38,160
38,161
38,164
38,168
38,172
38,181
38,187
38,191
38,209
38,212
38,213
38,219
38,224
38,225
38,231
38,257
38,264
38,266
38,278
38,286
38,384
39,62
39,68
39,69
39,74
39,75
39,87
39,110
39,112
39,123
39,156
39,181
39,219
39,266
43,74
43,75
43,95
43,97
43,112
43,118
43,120
43,123
43,156
43,160
43,161
43,172
43,181
43,185
43,201
43,208
43,213
43,219
43,224
43,246
43,257
43,260
43,266
43,278
43,280
43,286
43,384
44,39
44,62
44,68
44,69
44,74
44,75
44,86
44,87
44,110
44,112
44,123
44,156
44,160
44,172
44,181
44,208
44,213
44,219
44,266
47,112
47,118
47,160
47,161
47,181
47,213
47,257
47,266
47,278
49,24
49,33
49,56
49,59
49,62
49,64
49,72
49,74
49,75
49,78
49,79
49,80
49,81
49,82
49,83
49,84
49,85
49,86
49,88
49,93
49,95
49,96
49,97
49,99
49,101
49,102
49,111
49,112
49,113
49,118
49,119
49,120
49,123
49,124
49,125
49,127
49,129
49,130
49,133
49,135
49,139
49,149
49,153
49,156
49,160
49,161
49,162
49,163
49,164
49,168
49,172
49,173
49,178
49,179
49,180
49,181
49,182
49,183
49,184
49,185
49,187
49,189
49,191
49,192
49,193
49,194
49,200
49,201
49,206
49,207
49,208
49,209
49,210
49,212
49,213
49,216
49,217
49,219
49,223
49,224
49,226
49,231
49,244
49,245
49,246
49,257
49,259
49,260
49,261
49,263
49,264
49,266
49,278
49,279
49,280
49,281
49,286
49,288
49,302
49,365
49,384
50,18
50,24
50,49
50,56
50,64
50,72
50,75
50,78
50,79
50,80
50,82
50,93
50,98
50,101
50,102
50,113
50,118
50,119
50,120
50,124
50,127
50,161
50,162
50,164
50,168
50,180
50,181
50,183
50,184
50,192
50,200
50,207
50,212
50,213
50,216
50,245
50,246
50,257
50,259
50,263
50,266
50,279
55,75
55,97
55,112
55,118
55,123
55,156
55,161
55,181
55,201
55,208
55,209
55,213
55,219
55,224
55,257
55,260
55,266
55,278
55,280
55,286
55,384
56,18
56,72
56,78
56,79
56,80
56,81
56,82
56,88
56,101
56,102
56,112
56,113
56,118
56,119
56,127
56,156
56,161
56,162
56,164
56,168
56,179
56,181
56,192
56,200
56,207
56,212
56,213
56,245
56,263
56,266
56,278
59,62
59,74
59,84
59,112
59,123
59,172
59,191
59,192
59,219
62,192
64,18
64,24
64,33
64,56
64,59
64,62
64,72
64,73
64,74
64,75
64,78
64,79
64,80
64,81
64,82
64,83
64,84
64,86
64,88
64,96
64,97
64,99
64,100
64,101
64,102
64,111
64,112
64,113
64,118
64,119
64,122
64,123
64,125
64,127
64,129
64,130
64,132
64,133
64,135
64,139
64,149
64,153
64,156
64,160
64,161
64,162
64,163
64,164
64,168
64,172
64,179
64,181
64,182
64,185
64,187
64,189
64,190
64,191
64,192
64,193
64,194
64,200
64,206
64,207
64,208
64,209
64,212
64,213
64,217
64,219
64,223
64,224
64,225
64,226
64,231
64,245
64,257
64,261
64,263
64,264
64,266
64,278
64,279
64,281
64,286
64,302
64,350
64,384
69,87
69,123
71,18
71,24
71,33
71,49
71,50
71,56
71,59
71,62
71,64
71,72
71,73
71,74
71,75
71,78
71,79
71,80
71,81
71,82
71,83
71,84
71,85
71,86
71,88
71,92
71,93
71,95
71,96
71,97
71,99
71,100
71,101
71,102
71,111
71,112
71,113
71,118
71,119
71,120
71,123
71,124
71,125
71,127
71,129
71,130
71,133
71,135
71,139
71,149
71,153
71,156
71,160
71,161
71,162
71,163
71,164
71,168
71,172
71,173
71,178
71,179
71,180
71,181
71,182
71,183
71,184
71,185
71,187
71,189
71,191
71,192
71,193
71,194
71,200
71,201
71,206
71,207
71,208
71,209
71,210
71,212
71,213
71,216
71,217
71,219
71,223
71,224
71,226
71,231
71,244
71,245
71,246
71,257
71,259
71,260
71,263
71,264
71,266
71,278
71,279
71,280
71,281
71,286
71,288
71,302
71,365
71,384
72,59
72,62
72,74
72,75
72,78
72,79
72,86
72,88
72,99
72,101
72,102
72,112
72,113
72,118
72,119
72,123
72,127
72,135
72,139
72,156
72,160
72,161
72,162
72,164
72,168
72,172
72,181
72,185
72,189
72,192
72,200
72,207
72,209
72,213
72,219
72,231
72,245
72,263
72,266
72,278
72,281
72,286
74,62
74,69
74,112
74,123
74,172
74,191
74,192
75,59
75,62
75,69
75,74
75,84
75,87
75,100
75,112
75,123
75,172
75,191
75,192
75,219
75,245
75,281
78,74
78,75
78,79
78,112
78,168
78,181
78,192
78,245
78,266
79,75
79,112
79,168
79,181
79,192
79,245
79,266
80,59
80,72
80,74
80,75
80,78
80,79
80,81
80,82
80,83
80,84
80,88
80,97
80,101
80,102
80,111
80,112
80,113
80,118
80,119
80,123
80,127
80,129
80,135
80,139
80,149
80,156
80,160
80,161
80,162
80,164
80,168
80,172
80,179
80,181
80,182
80,185
80,187
80,192
80,200
80,206
80,207
80,208
80,209
80,212
80,213
80,219
80,223
80,231
80,245
80,261
80,263
80,264
80,266
80,278
80,279
80,281
80,286
80,302
81,72
81,75
81,78
81,82
81,83
81,88
81,102
81,112
81,118
81,119
81,127
81,160
81,161
81,162
81,164
81,168
81,179
81,181
81,192
81,200
81,207
81,212
81,213
81,223
81,266
81,278
81,279
82,18
82,62
82,72
82,74
82,75
82,78
82,79
82,83
82,84
82,88
82,99
82,101
82,102
82,111
82,112
82,113
82,118
82,119
82,123
82,127
82,129
82,135
82,139
82,149
82,156
82,160
82,161
82,162
82,164
82,168
82,172
82,179
82,181
82,185
82,187
82,192
82,200
82,206
82,207
82,209
82,212
82,213
82,219
82,223
82,231
82,245
82,263
82,266
82,278
82,279
82,286
82,302
83,72
83,75
83,88
83,102
83,118
83,127
83,156
83,160
83,161
83,164
83,168
83,181
83,192
83,200
83,207
83,213
83,223
83,266
84,62
84,74
84,112
84,123
84,172
84,191
84,192
85,5
85,33
85,38
85,39
85,44
85,59
85,62
85,64
85,68
85,69
85,72
85,74
85,75
85,78
85,80
85,82
85,84
85,86
85,87
85,88
85,92
85,93
85,95
85,97
85,100
85,101
85,102
85,110
85,112
85,113
85,118
85,119
85,120
85,121
85,122
85,123
85,127
85,133
85,138
85,156
85,159
85,160
85,161
85,162
85,164
85,168
85,171
85,172
85,179
85,180
85,181
85,184
85,185
85,187
85,191
85,192
85,200
85,201
85,205
85,207
85,208
85,209
85,210
85,212
85,213
85,215
85,217
85,219
85,223
85,224
85,225
85,226
85,231
85,244
85,246
85,257
85,259
85,260
85,264
85,266
85,272
85,278
85,279
85,280
85,286
85,288
85,363
85,365
85,384
86,59
86,62
86,74
86,75
86,84
86,112
86,123
86,168
86,172
86,191
86,192
86,219
87,62
87,68
88,59
88,74
88,75
88,78
88,79
88,84
88,86
88,99
88,101
88,102
88,112
88,123
88,127
88,156
88,160
88,168
88,172
88,181
88,191
88,192
88,200
88,208
88,209
88,213
88,219
88,245
88,266
88,278
88,281
88,286
92,33
92,59
92,62
92,64
92,74
92,75
92,84
92,86
92,97
92,102
92,112
92,118
92,123
92,127
92,156
92,160
92,161
92,164
92,168
92,172
92,181
92,185
92,187
92,191
92,200
92,201
92,208
92,209
92,212
92,213
92,219
92,224
92,226
92,231
92,244
92,246
92,257
92,260
92,264
92,266
92,278
92,280
92,286
92,363
92,384
93,24
93,33
93,56
93,59
93,62
93,64
93,72
93,74
93,75
93,78
93,79
93,80
93,81
93,82
93,83
93,84
93,86
93,88
93,95
93,96
93,97
93,99
93,101
93,102
93,112
93,113
93,118
93,119
93,120
93,123
93,127
93,129
93,130
93,133
93,135
93,139
93,149
93,153
93,156
93,160
93,161
93,162
93,163
93,164
93,168
93,172
93,173
93,178
93,179
93,180
93,181
93,185
93,187
93,189
93,191
93,192
93,200
93,201
93,206
93,207
93,208
93,209
93,210
93,212
93,213
93,217
93,219
93,223
93,224
93,231
93,244
93,245
93,246
93,257
93,260
93,263
93,264
93,266
93,278
93,279
93,280
93,281
93,286
93,288
93,365
93,384
95,5
95,24
95,33
95,38
95,39
95,44
95,55
95,59
95,62
95,64
95,68
95,69
95,72
95,74
95,75
95,78
95,80
95,82
95,84
95,86
95,87
95,88
95,92
95,96
95,97
95,100
95,101
95,102
95,110
95,112
95,113
95,118
95,119
95,122
95,123
95,127
95,133
95,156
95,159
95,160
95,161
95,162
95,164
95,168
95,172
95,179
95,180
95,181
95,185
95,187
95,191
95,192
95,197
95,200
95,201
95,207
95,208
95,209
95,210
95,212
95,213
95,215
95,217
95,219
95,223
95,224
95,225
95,226
95,231
95,244
95,245
95,246
95,257
95,260
95,264
95,266
95,272
95,278
95,279
95,280
95,286
95,288
95,363
95,384
96,56
96,72
96,74
96,75
96,78
96,80
96,81
96,82
96,88
96,97
96,101
96,102
96,112
96,113
96,118
96,119
96,127
96,130
96,156
96,160
96,161
96,162
96,164
96,168
96,179
96,181
96,182
96,192
96,194
96,200
96,207
96,212
96,213
96,217
96,219
96,223
96,224
96,231
96,245
96,263
96,266
96,278
96,279
96,384
97,5
97,39
97,44
97,59
97,62
97,69
97,72
97,74
97,75
97,78
97,81
97,82
97,84
97,86
97,87
97,88
97,100
97,101
97,102
97,112
97,113
97,118
97,119
97,122
97,123
97,127
97,156
97,159
97,160
97,161
97,162
97,164
97,168
97,172
97,179
97,181
97,185
97,187
97,191
97,192
97,200
97,207
97,208
97,209
97,212
97,213
97,215
97,219
97,223
97,225
97,226
97,231
97,245
97,264
97,266
97,278
97,279
97,286
97,363
98,64
98,78
98,82
98,101
98,113
98,119
98,162
98,164
98,212
98,216
99,111
100,59
100,74
100,84
100,112
100,123
100,172
100,191
100,219
101,74
101,75
101,78
101,79
101,112
101,168
101,181
101,192
101,245
101,266
102,59
102,62
102,73
102,74
102,75
102,78
102,79
102,84
102,86
102,99
102,101
102,111
102,112
102,123
102,156
102,168
102,172
102,181
102,191
102,192
102,208
102,219
102,245
102,266
102,281
110,69
110,87
111,73
111,192
112,62
112,69
112,87
112,123
112,172
112,191
112,192
113,74
113,75
113,78
113,79
113,88
113,101
113,102
113,112
113,119
113,123
113,127
113,156
113,160
113,168
113,181
113,192
113,200
113,207
113,213
113,245
113,263
113,266
113,278
118,39
118,44
118,59
118,62
118,69
118,74
118,75
118,78
118,79
118,84
118,86
118,87
118,88
118,100
118,101
118,102
118,110
118,111
118,112
118,113
118,119
118,122
118,123
118,127
118,139
118,156
118,159
118,160
118,168
118,172
118,181
118,191
118,192
118,200
118,207
118,208
118,209
118,213
118,219
118,225
118,245
118,263
118,266
118,278
118,281
118,286
119,74
119,75
119,78
119,79
119,88
119,101
119,102
119,112
119,123
119,127
119,156
119,160
119,168
119,172
119,181
119,192
119,200
119,209
119,213
119,219
119,245
119,266
119,278
119,286
120,5
120,18
120,24
120,28
120,33
120,38
120,39
120,44
120,47
120,55
120,56
120,59
120,62
120,64
120,68
120,69
120,72
120,74
120,75
120,78
120,79
120,80
120,81
120,82
120,83
120,84
120,86
120,87
120,88
120,92
120,95
120,96
120,97
120,99
120,100
120,101
120,102
120,110
120,111
120,112
120,113
120,118
120,119
120,122
120,123
120,127
120,129
120,130
120,133
120,135
120,138
120,139
120,149
120,153
120,154
120,156
120,159
120,160
120,161
120,162
120,163
120,164
120,168
120,172
120,173
120,179
120,180
120,181
120,185
120,187
120,189
120,191
120,192
120,193
120,194
120,197
120,200
120,201
120,206
120,207
120,208
120,209
120,210
120,212
120,213
120,215
120,217
120,219
120,223
120,224
120,225
120,226
120,231
120,244
120,245
120,246
120,257
120,260
120,263
120,264
120,266
120,272
120,278
120,279
120,280
120,281
120,286
120,288
120,302
120,352
120,363
120,365
120,384
121,62
121,64
121,74
121,75
121,84
121,95
121,97
121,102
121,112
121,118
121,120
121,123
121,133
121,156
121,160
121,161
121,164
121,172
121,181
121,185
121,187
121,191
121,200
121,201
121,208
121,209
121,212
121,213
121,219
121,224
121,225
121,231
121,246
121,257
121,260
121,264
121,266
121,272
121,278
121,280
121,286
121,384
122,39
122,44
122,59
122,62
122,68
122,69
122,74
122,75
122,84
122,87
122,110
122,112
122,123
122,156
122,159
122,160
122,172
122,181
122,209
122,213
122,219
122,225
122,266
122,278
122,286
123,62
123,87
123,192
124,18
124,56
124,64
124,78
124,79
124,82
124,88
124,101
124,102
124,113
124,118
124,119
124,127
124,161
124,162
124,164
124,168
124,180
124,192
124,200
124,207
124,212
124,213
124,216
124,245
124,263
124,266
125,102
125,118
125,127
125,164
125,168
125,200
125,207
125,223
125,266
126,24
126,49
126,50
126,56
126,59
126,62
126,64
126,71
126,72
126,74
126,75
126,78
126,79
126,80
126,81
126,82
126,83
126,84
126,85
126,86
126,88
126,93
126,95
126,96
126,97
126,99
126,101
126,102
126,111
126,112
126,113
126,118
126,119
126,120
126,123
126,124
126,127
126,129
126,130
126,133
126,135
126,139
126,149
126,153
126,156
126,160
126,161
126,162
126,163
126,164
126,168
126,172
126,173
126,178
126,179
126,180
126,181
126,182
126,183
126,184
126,185
126,187
126,189
126,192
126,194
126,200
126,201
126,206
126,207
126,208
126,209
126,210
126,212
126,213
126,216
126,217
126,219
126,223
126,224
126,231
126,245
126,246
126,257
126,259
126,260
126,263
126,264
126,266
126,278
126,279
126,280
126,281
126,286
126,365
126,384
127,59
127,62
127,74
127,75
127,78
127,79
127,84
127,86
127,101
127,102
127,112
127,123
127,156
127,160
127,168
127,172
127,181
127,191
127,192
127,209
127,213
127,219
127,245
127,266
127,281
129,72
129,88
129,102
129,118
129,127
129,161
129,164
129,168
129,181
129,192
129,200
129,207
129,213
129,223
129,266
129,278
130,72
130,75
130,80
130,81
130,82
130,88
130,97
130,102
130,112
130,118
130,119
130,123
130,127
130,156
130,161
130,162
130,164
130,168
130,179
130,181
130,192
130,200
130,207
130,212
130,213
130,219
130,223
130,224
130,266
130,278
130,279
130,281
132,164
132,192
133,39
133,44
133,59
133,62
133,69
133,74
133,75
133,80
133,84
133,86
133,97
133,100
133,102
133,112
133,118
133,122
133,123
133,127
133,156
133,159
133,160
133,161
133,164
133,168
133,172
133,181
133,185
133,187
133,191
133,192
133,200
133,207
133,208
133,209
133,212
133,213
133,219
133,231
133,264
133,266
133,278
133,286
135,73
135,88
135,99
135,102
135,111
135,112
135,113
135,118
135,119
135,127
135,168
135,181
135,192
135,200
135,207
135,213
135,245
135,266
138,59
138,62
138,64
138,72
138,74
138,75
138,84
138,86
138,95
138,97
138,102
138,112
138,118
138,123
138,127
138,156
138,160
138,161
138,164
138,168
138,172
138,181
138,187
138,200
138,209
138,212
138,213
138,219
138,224
138,231
138,246
138,257
138,260
138,266
138,278
138,280
138,286
138,384
139,88
139,102
139,112
139,119
139,127
139,168
139,181
139,192
139,200
139,207
139,213
139,266
139,278
147,5
147,39
147,44
147,69
147,87
147,118
147,122
147,159
147,181
147,215
149,72
149,88
149,102
149,113
149,118
149,127
149,161
149,164
149,168
149,181
149,192
149,200
149,207
149,213
149,223
149,266
149,302
152,59
152,74
152,75
152,95
152,97
152,112
152,118
152,120
152,133
152,156
152,160
152,161
152,181
152,184
152,213
152,224
152,231
152,246
152,257
152,260
152,266
152,278
153,72
153,102
153,118
153,127
153,161
153,164
153,168
153,181
153,200
153,207
153,213
153,266
154,118
154,156
154,161
154,181
154,213
154,266
155,64
155,245
156,59
156,62
156,69
156,74
156,75
156,84
156,86
156,87
156,100
156,112
156,123
156,168
156,172
156,191
156,192
156,219
156,245
158,5
158,17
158,24
158,33
158,38
158,39
158,44
158,49
158,55
158,59
158,62
158,64
158,68
158,69
158,71
158,72
158,74
158,75
158,78
158,79
158,80
158,82
158,84
158,85
158,86
158,87
158,88
158,92
158,93
158,95
158,96
158,97
158,100
158,101
158,102
158,112
158,113
158,118
158,119
158,120
158,121
158,122
158,123
158,126
158,127
158,133
158,138
158,152
158,156
158,159
158,160
158,161
158,162
158,164
158,168
158,171
158,172
158,179
158,180
158,181
158,183
158,184
158,185
158,187
158,191
158,192
158,195
158,197
158,198
158,200
158,201
158,205
158,207
158,208
158,209
158,210
158,212
158,213
158,215
158,217
158,219
158,220
158,223
158,224
158,225
158,226
158,231
158,244
158,245
158,246
158,257
158,259
158,260
158,263
158,264
158,266
158,272
158,278
158,279
158,280
158,286
158,288
158,351
158,363
158,384
159,39
159,44
159,59
159,62
159,68
159,69
159,74
159,75
159,87
159,100
159,110
159,112
159,123
159,156
159,160
159,172
159,181
159,191
159,208
159,209
159,213
159,219
159,266
159,278
159,286
160,39
160,59
160,62
160,69
160,74
160,75
160,78
160,84
160,86
160,100
160,101
160,102
160,112
160,123
160,156
160,168
160,172
160,181
160,191
160,192
160,208
160,219
160,245
160,266
161,39
161,44
161,59
161,62
161,69
161,74
161,75
161,78
161,79
161,84
161,86
161,87
161,88
161,100
161,101
161,102
161,110
161,111
161,112
161,113
161,118
161,119
161,122
161,123
161,127
161,135
161,139
161,156
161,159
161,160
161,168
161,172
161,181
161,191
161,192
161,200
161,207
161,208
161,209
161,213
161,215
161,219
161,225
161,245
161,263
161,266
161,278
161,286
161,363
162,18
162,74
162,75
162,78
162,79
162,88
162,99
162,101
162,102
162,112
162,113
162,118
162,119
162,127
162,135
162,156
162,160
162,161
162,164
162,168
162,181
162,192
162,200
162,207
162,213
162,219
162,245
162,263
162,266
162,278
162,286
163,72
163,80
163,82
163,88
163,102
163,118
163,127
163,161
163,164
163,168
163,179
163,181
163,192
163,200
163,207
163,212
163,213
163,223
163,266
163,279
164,59
164,62
164,73
164,74
164,75
164,78
164,79
164,84
164,86
164,88
164,99
164,100
164,101
164,102
164,111
164,112
164,113
164,118
164,119
164,123
164,127
164,135
164,139
164,156
164,160
164,161
164,168
164,172
164,181
164,189
164,191
164,192
164,200
164,207
164,208
164,209
164,213
164,219
164,245
164,261
164,263
164,266
164,278
164,281
164,286
168,59
168,62
168,73
168,74
168,75
168,84
168,99
168,111
168,112
168,123
168,172
168,191
168,192
168,219
168,245
168,281
171,5
171,39
171,44
171,59
171,62
171,68
171,69
171,74
171,75
171,87
171,95
171,97
171,100
171,110
171,112
171,118
171,120
171,122
171,123
171,133
171,147
171,156
171,159
171,160
171,161
171,172
171,181
171,184
171,191
171,201
171,208
171,209
171,213
171,215
171,219
171,224
171,231
171,244
171,246
171,257
171,260
171,266
171,278
171,280
171,286
171,384
172,62
172,87
172,123
172,191
172,192
173,24
173,64
173,72
173,75
173,80
173,82
173,88
173,102
173,112
173,118
173,119
173,127
173,130
173,139
173,156
173,161
173,164
173,168
173,179
173,180
173,181
173,192
173,200
173,207
173,210
173,212
173,213
173,217
173,219
173,223
173,257
173,266
173,278
173,279
173,280
178,64
178,72
178,88
178,102
178,127
178,164
178,168
178,180
178,181
178,192
178,200
178,207
178,212
178,213
178,223
179,72
179,74
179,75
179,78
179,79
179,88
179,101
179,102
179,112
179,113
179,118
179,119
179,123
179,127
179,129
179,135
179,139
179,153
179,156
179,160
179,161
179,162
179,164
179,168
179,181
179,192
179,200
179,206
179,207
179,212
179,213
179,219
179,223
179,231
179,245
179,263
179,266
179,278
179,279
179,286
180,24
180,33
180,56
180,59
180,62
180,64
180,72
180,74
180,75
180,78
180,79
180,80
180,81
180,82
180,83
180,84
180,86
180,88
180,96
180,97
180,99
180,101
180,102
180,111
180,112
180,113
180,118
180,119
180,123
180,125
180,127
180,129
180,130
180,133
180,135
180,139
180,149
180,153
180,156
180,160
180,161
180,162
180,163
180,164
180,168
180,172
180,179
180,181
180,182
180,185
180,187
180,189
180,192
180,193
180,194
180,200
180,201
180,206
180,207
180,208
180,209
180,210
180,212
180,213
180,217
180,219
180,223
180,224
180,231
180,245
180,257
180,263
180,264
180,266
180,278
180,279
180,280
180,281
