Source,Target
18,118
18,15763
18,16351
18,18718
18,18721
18,20356
18,20364
18,20371
18,20374
18,20376
18,20393
18,20397
18,20398
18,20399
18,20400
34,80
34,82
34,97
34,112
34,113
34,118
34,127
34,162
34,168
34,180
34,201
34,224
34,257
34,273
34,1146
34,15763
34,15774
34,16180
34,16351
34,16503
34,17141
34,18695
34,18700
34,18717
34,18718
34,18719
34,18720
34,18721
34,18729
34,19000
34,19928
34,20355
34,20356
34,20357
34,20360
34,20363
34,20364
34,20367
34,20368
34,20369
34,20371
34,20372
34,20374
34,20376
34,20377
34,20383
34,20389
34,20392
34,20393
34,20394
34,20395
34,20397
34,20398
34,20399
34,20400
34,20415
34,20781
38,18696
38,18718
48,113
48,162
49,34
49,38
49,74
49,80
49,82
49,93
49,97
49,99
49,102
49,112
49,113
49,118
49,120
49,125
49,127
49,130
49,162
49,164
49,168
49,172
49,180
49,181
49,191
49,201
49,208
49,213
49,214
49,217
49,219
49,220
49,224
49,244
49,257
49,260
49,264
49,266
49,273
49,278
49,286
49,667
49,1845
49,9976
49,11702
49,15760
49,15762
49,15763
49,15770
49,15776
49,15779
49,15787
49,16180
49,16351
49,16503
49,16728
49,17141
49,17628
49,18694
49,18695
49,18696
49,18699
49,18700
49,18701
49,18707
49,18708
49,18709
49,18715
49,18716
49,18717
49,18718
49,18719
49,18720
49,18725
49,18729
49,19000
49,19928
49,20356
49,20357
49,20358
49,20359
49,20360
49,20361
49,20362
49,20363
49,20364
49,20365
49,20366
49,20367
49,20368
49,20369
49,20370
49,20371
49,20372
49,20374
49,20376
49,20377
49,20378
49,20380
49,20381
49,20383
49,20384
49,20385
49,20386
49,20388
49,20389
49,20390
49,20391
49,20392
49,20393
49,20394
49,20395
49,20396
49,20397
49,20398
49,20399
49,20400
49,20415
49,20496
49,20781
49,20798
74,172
74,214
74,1845
74,15770
74,15776
74,15787
74,16180
74,16351
74,16503
74,18696
74,18700
74,18717
74,18718
74,18719
74,18720
74,19000
74,20363
74,20364
74,20366
74,20367
74,20368
74,20371
74,20377
74,20383
74,20389
74,20415
80,74
80,97
80,99
80,102
80,112
80,118
80,125
80,127
80,164
80,168
80,172
80,191
80,208
80,213
80,214
80,264
80,266
80,286
80,1845
80,9976
80,15776
80,15779
80,15787
80,16180
80,16351
80,16503
80,17628
80,18695
80,18696
80,18699
80,18700
80,18701
80,18715
80,18716
80,18717
80,18718
80,18719
80,18720
80,18725
80,18729
80,19000
80,19928
80,20357
80,20360
80,20362
80,20363
80,20364
80,20366
80,20367
80,20368
80,20371
80,20376
80,20377
80,20380
80,20381
80,20383
80,20385
80,20388
80,20389
80,20390
80,20391
80,20393
80,20398
80,20399
80,20400
80,20415
80,20781
82,18
82,99
82,112
82,113
82,118
82,119
82,127
82,162
82,164
82,168
82,286
82,11702
82,15763
82,15774
82,15787
82,16180
82,16351
82,16503
82,17141
82,18700
82,18717
82,18718
82,18720
82,18721
82,18729
82,19000
82,20355
82,20356
82,20357
82,20360
82,20362
82,20363
82,20364
82,20365
82,20366
82,20367
82,20368
82,20369
82,20371
82,20372
82,20374
82,20376
82,20377
82,20383
82,20385
82,20389
82,20390
82,20391
82,20393
82,20394
82,20395
82,20396
82,20397
82,20398
82,20399
82,20400
82,20415
93,38
93,74
93,80
93,97
93,102
93,112
93,118
93,120
93,125
93,127
93,162
93,164
93,168
93,172
93,180
93,191
93,201
93,208
93,213
93,214
93,219
93,224
93,244
93,257
93,264
93,266
93,273
93,278
93,286
93,1845
93,15760
93,15770
93,15774
93,15776
93,15787
93,16180
93,16351
93,16503
93,18695
93,18696
93,18699
93,18700
93,18701
93,18715
93,18716
93,18717
93,18718
93,18719
93,18720
93,18729
93,19000
93,19928
93,20356
93,20359
93,20360
93,20362
93,20363
93,20364
93,20365
93,20366
93,20367
93,20368
93,20371
93,20374
93,20376
93,20377
93,20380
93,20381
93,20383
93,20384
93,20385
93,20386
93,20388
93,20389
93,20390
93,20392
93,20393
93,20394
93,20395
93,20398
93,20399
93,20400
93,20415
93,20781
93,20798
97,74
97,102
97,112
97,118
97,125
97,127
97,164
97,168
97,172
97,213
97,214
97,266
97,286
97,1845
97,15760
97,15770
97,15776
97,15787
97,16180
97,16351
97,16503
97,17628
97,18695
97,18696
97,18700
97,18716
97,18717
97,18718
97,18719
97,18720
97,19000
97,19928
97,20357
97,20360
97,20362
97,20363
97,20364
97,20365
97,20366
97,20367
97,20368
97,20371
97,20377
97,20380
97,20383
97,20385
97,20389
97,20390
97,20397
97,20398
97,20400
97,20415
99,112
99,191
99,9976
99,11702
99,15763
99,15779
99,15787
99,16180
99,16351
99,16503
99,18696
99,18700
99,18715
99,18716
99,18717
99,18718
99,18719
99,18720
99,18725
99,18729
99,19000
99,19928
99,20356
99,20357
99,20360
99,20362
99,20363
99,20364
99,20366
99,20367
99,20368
99,20371
99,20374
99,20376
99,20377
99,20381
99,20383
