Unnamed: 0,typeid_x,afstemningid,aktørid,party,dato
625524,1,5973,1039,Socialdemokratiet,2004-10-19 13:15:00
625525,1,5973,220,Socialdemokratiet,2004-10-19 13:15:00
625526,1,5973,183,Danmarksdemokraterne,2004-10-19 13:15:00
625527,1,5973,198,Socialistisk Folkeparti,2004-10-19 13:15:00
625528,1,5973,94,Venstre,2004-10-19 13:15:00
625529,1,5973,664,Uden for folketingsgrupperne,2004-10-19 13:15:00
625530,1,5973,77,Uden for folketingsgrupperne,2004-10-19 13:15:00
625531,1,5973,1885,Venstre,2004-10-19 13:15:00
625532,1,5973,1755,Dansk Folkeparti,2004-10-19 13:15:00
625533,1,5973,1470,Socialdemokratiet,2004-10-19 13:15:00
625534,1,5973,49,Venstre,2004-10-19 13:15:00
625535,1,5973,1417,Enhedslisten,2004-10-19 13:15:00
625536,1,5973,1455,Socialdemokratiet,2004-10-19 13:15:00
625537,1,5973,1463,Socialdemokratiet,2004-10-19 13:15:00
625538,1,5973,1727,Socialdemokratiet,2004-10-19 13:15:00
625539,1,5973,149,Det Konservative Folkeparti,2004-10-19 13:15:00
625540,1,5973,856,Enhedslisten,2004-10-19 13:15:00
625541,1,5973,1881,Radikale Venstre,2004-10-19 13:15:00
625542,1,5973,647,Venstre,2004-10-19 13:15:00
625543,1,5973,258,Socialdemokratiet,2004-10-19 13:15:00
625544,1,5973,8319,,2004-10-19 13:15:00
625545,1,5973,164,Venstre,2004-10-19 13:15:00
625546,1,5973,1779,Venstre,2004-10-19 13:15:00
625547,1,5973,1891,Socialdemokratiet,2004-10-19 13:15:00
625548,1,5973,1371,Dansk Folkeparti,2004-10-19 13:15:00
625549,1,5973,364,Venstre,2004-10-19 13:15:00
625550,1,5973,678,Socialdemokratiet,2004-10-19 13:15:00
625551,1,5973,1759,Det Konservative Folkeparti,2004-10-19 13:15:00
625552,1,5973,55,Radikale Venstre,2004-10-19 13:15:00
625553,1,5973,669,Socialdemokratiet,2004-10-19 13:15:00
625554,1,5973,1914,Socialdemokratiet,2004-10-19 13:15:00
625555,1,5973,271,Venstre,2004-10-19 13:15:00
625556,1,5973,652,Socialdemokratiet,2004-10-19 13:15:00
625557,1,5973,1850,Det Konservative Folkeparti,2004-10-19 13:15:00
625558,1,5973,1815,Dansk Folkeparti,2004-10-19 13:15:00
625559,1,5973,1752,Socialistisk Folkeparti,2004-10-19 13:15:00
625560,1,5973,210,Venstre,2004-10-19 13:15:00
625561,1,5973,1912,Radikale Venstre,2004-10-19 13:15:00
625562,1,5973,1447,Socialdemokratiet,2004-10-19 13:15:00
625563,1,5973,668,Uden for folketingsgrupperne,2004-10-19 13:15:00
625564,1,5973,1844,Venstre,2004-10-19 13:15:00
625565,1,5973,1823,Det Konservative Folkeparti,2004-10-19 13:15:00
625566,1,5973,280,Socialdemokratiet,2004-10-19 13:15:00
625567,1,5973,1777,Dansk Folkeparti,2004-10-19 13:15:00
625568,1,5973,235,Socialdemokratiet,2004-10-19 13:15:00
625569,1,5973,1739,Venstre,2004-10-19 13:15:00
625570,1,5973,1557,Kristeligt Folkeparti,2004-10-19 13:15:00
625571,1,5973,1790,Venstre,2004-10-19 13:15:00
625572,1,5973,216,Dansk Folkeparti,2004-10-19 13:15:00
625573,1,5973,211,Dansk Folkeparti,2004-10-19 13:15:00
625574,1,5973,108,Det Konservative Folkeparti,2004-10-19 13:15:00
625575,1,5973,1805,Ny Alliance,2004-10-19 13:15:00
625576,1,5973,131,Det Konservative Folkeparti,2004-10-19 13:15:00
625577,1,5973,1623,,2004-10-19 13:15:00
625578,1,5973,1047,Uden for folketingsgrupperne,2004-10-19 13:15:00
625579,1,5973,794,Socialistisk Folkeparti,2004-10-19 13:15:00
625580,1,5973,1256,Socialdemokratiet,2004-10-19 13:15:00
625581,1,5973,5593,,2004-10-19 13:15:00
625582,1,5973,265,Venstre,2004-10-19 13:15:00
625583,1,5973,1393,Socialdemokratiet,2004-10-19 13:15:00
625584,1,5973,7633,,2004-10-19 13:15:00
