Source,Target
206,217
15789,183
49,270
178,155
384,260
77,15793
176,15772
194,99
139,163
125,265
102,17543
15796,78
39,225
273,163
92,88
145,1146
10107,147
129,155
15757,86
201,260
148,168
15787,16473
15762,201
73,15795
15758,15772
220,273
154,16952
17360,271
15776,16351
145,99
17543,1146
15764,18
180,93
16176,191
24,15795
15773,252
225,15785
28,224
69,225
132,17543
17543,99
266,17543
15776,257
17360,163
56,1454
57,17140
668,261
184,16952
176,15785
179,15790
224,220
16351,84
271,15793
15758,15785
201,273
15799,15786
15762,214
15790,16757
15770,38
200,48
130,15790
48,179
15792,15783
88,15793
15782,48
113,17543
15757,220
163,102
127,179
297,102
99,117
352,297
15769,15772
214,67
286,172
17140,72
216,113
6737,116
78,179
73,18265
16610,28
164,17629
16074,15775
168,72
244,67
120,297
15791,110
101,18
10107,15799
15800,16374
24,18265
18278,278
100,59
110,252
15798,271
164,15764
15770,172
16582,87
17963,122
38,120
39,15769
199,15758
194,17629
23,15761
73,77
1845,34
160,15766
48,16757
12,67
17,182
15768,16728
214,201
127,16757
179,180
15795,57
261,16757
17140,206
15772,110
82,18
69,15769
183,70
15798,15789
1845,155
1146,117
15881,282
15774,119
265,139
78,16757
145,15764
130,180
168,206
80,93
15795,178
179,72
15765,1504
244,201
23,15774
15799,68
17543,15764
16074,44
155,129
16473,278
1454,125
273,84
130,72
17141,148
28,24
181,266
10107,68
56,16072
18,15780
92,15766
192,132
49,83
110,15783
15766,12
220,16180
260,266
12,201
141,86
15798,4956
125,78
16503,278
15773,173
135,271
162,145
87,15772
18265,15762
280,366
118,38
192,24
56,1146
1454,17629
252,38
16757,50
180,135
70,263
273,97
15787,192
56,99
67,16473
16074,1454
28,266
148,102
72,1504
352,97
18291,15761
201,16180
280,16473
15779,15765
252,16374
18265,18
15787,84
1146,14372
172,16610
23,43
87,15785
206,164
192,266
18,3082
252,280
145,154
102,1504
49,217
178,102
18278,667
117,92
163,15780
48,221
207,17247
200,18291
120,97
257,16610
180,148
17628,15797
18265,139
15768,192
14372,15798
111,48
23,164
86,16728
15771,197
17543,154
55,116
15782,18291
173,17141
187,272
17736,15781
118,172
74,16610
252,172
16180,16351
18291,15774
179,1845
378,15789
99,16374
48,113
78,221
205,33
270,162
68,17963
16180,257
182,49
16180,28
130,1845
15784,28
15797,15768
1146,15782
83,1504
200,103
15785,667
164,180
217,272
15789,14372
249,224
15790,15765
273,352
221,162
59,100
78,113
16351,260
224,167
15767,15781
667,16952
17543,167
15763,18291
1454,15790
15766,280
217,164
378,4956
15791,44
194,180
147,68
18,183
15762,15787
17,224
163,49
15784,270
15765,28
297,278
224,16503
168,127
1619,16473
15800,17247
120,352
39,656
17736,50
16351,273
17,116
77,130
80,135
180,15800
16757,668
273,15762
56,15764
271,117
18278,225
69,656
265,73
352,15762
15793,103
15779,168
15765,270
18291,164
278,12
48,15765
17629,15765
167,181
15796,15798
17963,69
245,18265
24,132
122,667
225,122
15767,50
264,18278
17140,261
197,23
68,138
257,74
127,15765
261,15765
246,181
265,194
72,28
366,246
18291,56
163,183
168,261
176,122
80,148
15790,155
77,14372
120,15762
148,23
179,127
271,130
15758,122
160,18278
15785,225
16074,99
11583,82
1454,180
154,15760
173,15773
15773,17140
378,192
366,138
130,127
245,77
102,28
88,130
162,79
181,92
15795,125
17360,18
207,15771
192,187
386,15773
178,23
164,1845
266,16351
154,15881
260,92
213,246
72,270
172,208
213,17
15770,15758
286,15771
1504,16374
184,15760
28,200
15790,168
148,265
129,23
181,213
147,17827
280,192
17360,139
132,28
266,257
192,79
266,28
252,93
257,208
384,249
260,213
208,23
67,84
213,138
214,15787
15774,79
194,1845
15795,17629
184,15881
15800,15758
272,15765
102,270
83,28
264,103
206,17360
74,208
667,10107
111,18291
179,261
252,17247
207,15784
192,200
88,14372
178,265
197,278
123,100
11583,216
15789,18265
17629,155
15769,122
73,16952
252,18415
78,34
24,15784
264,224
3082,263
23,98
244,15787
28,213
129,265
15776,246
160,103
220,154
132,270
261,155
286,16952
352,273
99,93
24,16952
155,668
15766,201
655,15772
77,15795
80,15800
16374,57
179,15779
15787,260
15781,15758
83,270
15800,15771
15771,252
15771,23
271,15782
15757,88
160,224
99,17247
173,163
206,111
15789,77
12,15787
217,206
130,15779
48,168
34,270
3082,15781
120,273
15792,15772
16374,178
17629,168
88,15782
23,111
270,217
15798,18
127,168
113,270
15784,83
15785,15769
139,1454
217,17360
261,168
352,286
16092,199
15780,378
668,263
16351,16180
15766,214
655,15785
208,278
18265,207
139,178
15763,145
15787,273
138,219
97,181
15771,265
1454,1845
15793,24
271,15795
15758,15787
16610,17
113,162
18265,1146
117,17543
668,155
16072,378
120,286
88,15795
18265,99
92,224
15795,15790
18278,38
206,17736
15793,145
1619,84
110,12
16610,138
15765,83
182,117
168,182
15761,378
77,18265
39,15758
15758,43
1845,23
386,297
118,15758
18291,98
15779,102
130,48
15784,217
15770,282
15764,15780
272,168
15758,164
28,15757
69,15758
87,122
43,10107
15788,43
116,17267
163,117
278,67
154,297
122,15769
286,187
23,15763
16603,148
15771,15796
1845,265
18278,172
16473,38
99,15758
17,184
72,83
18291,111
252,15771
18,14372
15765,217
135,139
179,182
199,15881
184,297
225,69
176,9976
88,18265
49,72
110,15772
270,15761
73,200
1504,93
1146,119
130,182
378,18
164,15779
44,667
102,83
176,69
15790,102
15764,3082
167,249
15795,180
273,16180
98,378
221,15761
179,74
23,15776
