Source,Target
16351,20366
206,217
20363,20385
18719,197
15757,20381
197,168
15757,16180
18701,20559
18699,15760
20366,20390
15762,20496
49,18700
20362,18699
20374,15784
20380,286
20380,57
180,201
181,20051
20378,213
125,265
20496,18699
20364,49
125,18695
20798,19000
11702,1454
20368,168
18701,264
201,260
220,273
15762,201
260,20051
15776,20781
15776,16351
20941,15787
20390,18882
15784,20376
266,20805
18695,20377
99,20399
20916,20389
197,18719
214,20349
20380,178
194,220
38,20389
180,93
12,20925
213,18700
273,18714
20382,224
278,21044
15776,257
201,152
20496,15787
145,220
15757,1146
20361,286
180,214
125,278
18708,20962
17629,18717
18729,80
20361,18716
244,20349
43,20359
224,220
138,217
15787,20916
20349,168
15787,18701
15757,99
20368,181
201,273
15762,214
15770,38
220,18716
20384,125
20371,18882
18709,16582
20767,18882
18717,20378
80,20362
178,18719
214,20362
20361,178
18720,20383
18708,21083
207,172
120,18714
125,21044
15800,11702
20363,224
20051,20368
15757,220
1454,20394
12,20349
20917,15793
20379,168
15760,20382
286,172
15779,20395
57,120
173,18725
168,20367
18719,18882
20841,20349
208,18719
244,20362
20381,20364
20349,181
18704,265
21076,18711
164,17629
20392,15800
20365,125
20384,138
20379,18719
20805,168
262,20352
20415,20362
20051,194
18278,278
20781,15760
20385,15760
197,20371
20527,20539
15770,172
12,20362
20916,120
20379,181
214,80
20378,15757
38,120
20966,20357
80,20496
18713,17360
235,139
20805,18719
20841,20362
266,20363
49,20365
20362,20364
20381,20377
15760,100
20496,20364
20365,17629
20917,20357
18717,217
80,201
20380,20381
214,201
18704,18708
20365,138
262,20365
244,80
18882,18714
109,121
235,260
220,20368
19000,18706
18,262
20386,197
20372,262
20366,15760
178,20371
20364,21083
197,20384
15774,119
265,139
20559,125
130,180
16503,265
20925,182
168,206
18699,18714
80,93
139,20379
213,20365
273,20379
181,145
20415,80
20387,18
17628,20790
181,20790
244,201
20415,20496
18719,118
141,194
260,145
21083,20366
12,80
49,20378
18714,15760
265,260
260,20790
17629,20382
208,20371
20361,20381
80,214
20415,201
181,266
20364,20386
15776,57
18720,235
21076,20363
15787,20366
18703,18725
20841,80
102,20389
181,18696
20559,17629
201,20368
220,20381
220,16180
20353,262
260,266
12,201
178,20384
213,191
109,20779
19928,15776
16503,278
260,18696
20559,16582
34,20376
120,20379
244,19920
20415,93
15776,178
20374,20966
20767,252
20841,201
20390,265
118,38
20349,20384
20377,15787
18700,118
197,102
20790,20386
113,20376
20390,18695
173,20390
20380,220
20369,17360
139,97
1845,18719
273,97
20383,262
20805,20371
208,20384
20415,214
16503,21044
20635,217
201,194
21076,20376
220,207
17628,18709
20360,18708
20372,15793
12,19920
18704,20360
20781,18701
201,16180
20375,34
17629,100
20379,20384
20398,20397
20363,145
20387,273
17141,18712
20391,20394
20360,21044
20371,265
206,164
20642,15775
93,18717
178,102
49,217
164,167
145,154
20371,18695
18278,667
20930,20379
154,20390
20361,220
120,97
20805,20384
20391,99
172,18717
20378,20805
152,49
100,1845
20349,102
201,207
264,18720
20377,20580
118,172
15793,20372
21083,97
16180,16351
20385,18714
206,18715
15770,20388
20388,15787
18719,18695
164,18718
208,102
164,16503
238,18704
48,113
18882,20379
57,20349
194,167
16351,139
180,18699
20358,43
16180,257
130,1845
20642,15788
18699,20379
20379,102
74,18717
15762,18699
15774,15784
164,180
145,167
18714,18701
20384,20367
15800,20388
16351,260
138,164
224,167
194,18718
194,16503
20374,17141
1845,20371
20930,97
20366,18714
20380,17629
20371,21044
19920,20354
217,164
16728,20599
18700,18695
18703,20390
16728,20370
181,20361
18720,20559
145,18718
235,181
145,16503
20599,20642
18701,20051
20386,118
194,180
15762,15787
21044,118
16351,152
82,20355
138,20930
20372,20599
18696,20387
20388,164
224,18718
168,127
224,16503
260,20361
138,18715
16180,18700
20365,180
167,168
18695,20916
18882,97
18695,18701
278,20415
20747,18712
217,20930
217,18715
20387,20355
1845,197
16351,273
224,180
265,181
18699,97
20355,21076
1845,20384
20642,20352
15784,162
176,109
20358,9976
15757,18718
18716,19928
139,15762
273,15762
20356,252
18725,20916
20781,20366
20367,118
18696,213
100,235
21075,20355
173,15760
238,20356
152,20841
20353,20370
278,12
20559,16503
125,20415
167,181
15784,18713
20580,118
16582,18693
16503,20386
18695,18714
20916,18726
38,20941
20387,20368
93,20382
257,74
109,176
20767,20360
100,127
15788,109
20559,180
130,235
18694,20411
18717,164
172,20382
20360,199
18726,20629
120,15762
15784,20820
264,20385
15800,119
20823,20376
18725,16728
191,17628
20781,20379
20385,20379
206,20380
154,15760
213,125
164,20383
152,21083
15760,168
18718,244
125,12
21083,15762
130,127
20798,20962
180,20364
21044,15770
93,208
18717,20930
16582,18706
80,18699
18717,18715
138,20367
214,18699
49,138
74,20382
20387,16180
15762,20364
20384,1845
164,1845
266,16351
118,20388
18714,20366
172,208
1845,18882
20389,20390
19920,206
15788,20767
15760,18719
20383,20841
181,213
20359,15788
266,257
38,21075
18700,173
15757,20370
257,208
18718,15762
20366,20379
244,18699
20375,197
20381,20916
260,213
20381,18701
145,20383
172,100
214,15787
213,138
273,152
194,1845
20364,38
20930,15762
180,20377
20378,20389
74,208
15776,125
20387,207
220,262
20367,15770
206,17360
20385,97
224,20383
20415,18699
138,20380
20781,97
178,265
20376,48
20941,15776
16180,20365
20365,1845
18695,20366
197,18708
20361,154
20380,167
235,19000
20779,667
217,20380
18882,15762
20394,20747
20580,15770
15787,139
12,18699
264,224
134,20382
20411,18701
244,15787
20382,213
224,1845
20790,38
20635,164
20368,49
18701,145
20496,15776
220,154
16351,20368
18696,15757
20363,20387
18715,15770
18701,20790
15757,20383
20747,82
18699,15762
20841,18699
266,18700
