,id,dato
0,1,2014-09-08T11:00:00
1,2,2014-09-25T10:30:00
2,3,2014-09-18T10:00:00
3,4,2014-09-09T13:15:00
4,5,2014-09-09T15:00:00
5,6,2014-08-28T10:00:00
6,7,2014-09-02T13:00:00
7,8,2014-09-03T09:00:00
8,9,2014-09-08T11:00:00
9,10,2014-09-14T14:00:00
10,11,2014-09-30T10:00:00
11,12,2014-09-04T10:30:00
12,13,2014-09-09T07:50:00
13,14,2014-09-18T08:30:00
14,15,2014-08-27T17:00:00
15,16,2014-09-02T13:00:00
16,17,2014-09-09T09:00:00
17,18,2014-09-09T09:15:00
18,19,2014-10-02T14:00:00
19,20,2014-09-18T14:00:00
20,21,2014-09-18T10:30:00
21,22,2014-10-02T13:00:00
22,23,2014-09-10T11:00:00
23,24,2014-09-18T14:00:00
24,25,2014-09-10T14:00:00
25,26,2014-10-03T11:00:00
26,27,2014-09-11T13:30:00
27,28,2014-10-01T14:00:00
28,29,2014-10-01T11:30:00
29,30,2014-10-02T15:00:00
30,31,2014-09-19T10:00:00
31,32,2014-09-18T14:00:00
32,33,2014-09-17T08:00:00
33,34,2014-09-16T15:00:00
34,35,2014-09-16T10:00:00
35,36,2014-09-17T11:45:00
36,37,2014-10-02T15:45:00
37,39,2012-10-02T12:00:00
38,40,2012-10-03T13:00:00
39,41,2012-10-04T10:00:00
40,42,2012-10-09T13:00:00
41,43,2012-10-04T08:00:00
42,44,2012-10-04T00:00:00
43,51,2012-10-04T07:00:00
44,52,2012-10-05T10:00:00
45,60,2012-10-10T13:00:00
46,61,2012-10-11T10:00:00
47,62,2012-10-23T13:00:00
48,63,2012-10-24T13:00:00
49,64,2012-10-25T10:00:00
50,65,2012-10-26T10:00:00
51,66,2012-11-01T10:00:00
52,67,2012-11-02T10:00:00
53,68,2012-11-07T13:00:00
54,69,2012-11-06T13:00:00
55,70,2012-11-13T13:00:00
56,71,2012-11-08T10:00:00
57,72,2012-11-14T13:00:00
58,77,2012-11-15T10:00:00
59,78,2012-11-16T10:00:00
60,79,2012-11-20T13:00:00
61,80,2012-11-21T13:00:00
62,81,2012-11-22T10:00:00
63,82,2012-11-27T12:00:00
64,83,2012-11-23T10:00:00
65,84,2012-11-29T10:00:00
66,85,2012-11-28T13:00:00
67,87,2012-11-30T10:00:00
68,107,2012-10-25T00:00:00
69,109,2012-10-26T10:00:00
70,110,2012-10-10T13:00:00
71,115,2012-10-12T10:00:00
72,128,2012-10-17T00:00:00
73,134,2012-10-30T13:00:00
74,156,2012-11-06T00:00:00
75,157,2012-11-09T11:00:00
76,238,2014-09-18T14:00:00
77,239,2014-09-23T15:00:00
78,240,2014-09-26T10:00:00
79,241,2014-09-30T15:00:00
80,242,2014-09-14T00:00:00
81,243,2014-10-02T09:45:00
82,244,2014-09-25T13:00:00
83,245,2014-10-01T13:30:00
84,246,2014-10-21T10:00:00
85,247,2012-12-12T13:00:00
86,248,2012-12-11T13:00:00
87,249,2012-12-13T10:00:00
88,250,2012-12-14T10:00:00
89,251,2012-12-19T09:00:00
90,252,2012-12-18T09:00:00
91,264,2012-12-17T13:00:00
92,268,2012-12-07T11:00:00
93,292,2012-12-14T08:00:00
94,329,2013-01-10T10:00:00
95,330,2013-01-11T10:00:00
96,331,2013-01-15T13:00:00
97,332,2013-01-16T13:00:00
98,333,2013-01-17T10:00:00
99,334,2013-01-18T10:00:00
100,335,2013-01-23T13:00:00
101,336,2013-01-22T13:00:00
102,337,2013-01-24T10:00:00
103,338,2013-01-31T13:00:00
104,339,2013-01-29T13:00:00
105,340,2013-01-30T13:00:00
106,341,2013-01-25T10:00:00
107,342,2013-02-01T00:00:00
108,343,2013-02-06T13:00:00
109,344,2013-02-05T13:00:00
110,345,2013-02-08T10:00:00
111,346,2013-02-07T10:00:00
112,347,2013-02-19T13:00:00
113,348,2013-04-04T10:00:00
114,349,2013-04-09T13:00:00
115,350,2013-02-20T13:00:00
116,351,2013-04-05T10:00:00
117,352,2013-02-21T10:00:00
118,353,2013-02-26T13:00:00
119,354,2013-02-22T10:00:00
120,355,2013-02-27T13:00:00
121,356,2013-03-01T10:00:00
122,357,2013-03-13T13:00:00
123,358,2013-03-15T10:00:00
124,359,2013-03-20T13:00:00
125,360,2013-02-28T10:00:00
126,361,2013-05-08T13:00:00
127,362,2013-05-22T13:00:00
128,363,2013-05-14T13:00:00
129,364,2013-05-03T10:00:00
130,365,2013-06-03T10:00:00
131,366,2013-05-28T13:00:00
132,369,2013-04-03T13:00:00
133,375,2013-01-15T16:00:00
134,377,2013-01-16T10:30:00
135,378,2013-01-16T14:30:00
136,379,2013-01-23T09:30:00
137,381,2013-02-05T16:00:00
138,382,2013-01-16T14:00:00
139,383,2013-02-07T10:30:00
140,384,2013-01-17T13:30:00
141,385,2013-01-17T10:30:00
142,386,2013-01-18T10:00:00
143,387,2013-01-24T15:30:00
144,388,2013-01-15T13:00:00
145,389,2013-01-15T00:00:00
146,390,2013-01-22T14:00:00
147,391,2013-01-17T13:00:00
148,392,2013-01-23T10:00:00
149,393,2013-01-25T11:00:00
150,394,2013-01-29T14:15:00
