Source,Target
206,217
207,11702
59,15776
224,16072
18725,19196
49,270
18706,18917
15757,16180
18701,14372
18706,18688
655,15770
238,206
18719,197
15794,18728
123,219
19982,18707
49,18700
18705,18729
194,99
181,20051
139,163
199,214
39,225
125,265
112,15787
19480,18725
125,18695
11702,1454
19133,187
201,260
15762,201
17360,271
102,18711
18728,138
18727,20144
260,20051
12,15785
191,15787
15776,16351
17360,18701
19806,172
366,15788
18727,667
4434,655
197,18719
194,220
20144,167
180,93
296,18698
18688,187
18694,18691
18706,15776
225,15785
69,225
16503,19016
15776,257
201,152
17360,163
296,19637
118,117
141,15791
112,43
247,18698
667,19809
352,18714
19982,18720
49,18713
176,15785
18716,141
18702,206
208,18706
15787,271
15762,19920
138,217
224,220
16351,84
20144,16503
20144,18718
247,19637
69,117
271,15793
102,18953
15762,214
18698,18702
18709,138
18708,20144
15770,38
213,15788
220,18716
18709,16582
18707,19919
18708,667
18702,17360
130,15790
219,18720
15791,97
88,15793
19748,180
18688,200
296,18711
18729,201
207,172
120,18714
15800,11702
224,112
15757,220
18693,18708
163,102
19146,260
18700,668
214,67
15788,15785
286,172
17990,19002
18721,15774
247,18711
123,19133
15775,18704
352,18727
17267,9976
18719,18882
17140,72
18698,15790
117,18830
661,17267
18701,19996
16072,18698
208,18719
224,4434
15787,16728
19948,18703
164,17629
168,72
17267,69
93,19146
18736,217
18711,19637
18694,15792
17267,18728
244,67
15791,110
18917,265
296,18953
112,9976
15776,15788
24,18265
172,19146
18729,214
100,59
120,18727
18713,206
18716,18705
34,18953
18917,18695
59,18717
18705,16072
18718,55
167,17267
15770,172
121,118
191,9976
16728,141
19146,18703
38,120
154,18725
194,17629
123,19146
18692,39
19748,125
112,18728
18697,117
18713,17360
246,17267
4434,213
12,67
265,247
191,69
18699,163
207,18736
18704,278
19928,17628
191,18728
214,201
18704,18708
18723,18721
19928,366
17990,117
16728,18692
18711,173
82,247
17140,206
18882,18714
82,18
24,18736
184,18725
20051,207
19000,18706
72,19221
19016,220
19146,15791
18727,117
18917,18708
265,139
15774,119
19948,200
366,191
130,180
16503,265
168,206
11702,16072
18718,18727
80,93
167,247
117,655
17990,238
19196,43
244,201
18719,118
18705,220
18701,18265
19475,17134
189,18695
11702,207
18708,225
246,247
18695,19948
265,260
214,19920
18714,15760
1454,125
278,199
130,72
43,19809
141,16180
17628,266
18726,18709
181,266
17990,130
18728,59
16728,18705
18882,18727
18705,112
220,16180
19000,18719
184,10107
16072,55
260,266
18688,17141
12,201
213,191
18953,9976
252,11702
18691,9976
19928,15776
15788,18726
9976,18725
244,19920
18698,72
19221,113
15791,15762
16503,18708
15794,19480
116,18688
17360,84
247,189
118,38
192,24
1454,17629
18692,18953
15800,18736
17134,266
18715,655
18691,69
16072,176
18702,19146
18953,18728
141,207
121,15770
67,18688
172,18704
19982,19809
264,18707
220,207
18709,59
17628,18709
12,19920
352,97
201,16180
123,18704
19196,9976
257,18704
9976,19196
18688,121
18713,19133
260,18709
116,271
172,16610
225,19920
15787,84
15791,15775
15776,191
116,18701
17141,18712
18723,78
17628,18830
17360,97
206,164
181,18830
19806,19475
19982,224
4434,15757
19809,18726
49,217
178,102
164,167
19196,18728
192,18696
16072,189
67,271
123,16610
176,19920
120,97
257,16610
88,19807
18265,139
119,17134
260,18830
172,18717
18698,206
15794,17628
18697,15782
257,15792
264,18720
59,16073
201,207
173,17141
187,43
18953,661
15794,366
118,172
219,224
16180,16351
117,213
48,113
123,18717
194,167
18726,655
97,17267
141,19000
18713,19146
167,15791
655,19221
17990,15782
180,18699
168,19133
15757,154
16180,257
138,18702
116,16728
182,49
18697,11702
19146,194
129,18882
220,19000
160,18720
200,103
15785,667
219,116
164,180
18711,19221
18696,668
15794,18917
19480,15760
197,19016
271,19002
252,18723
19919,117
100,17134
59,100
78,113
16351,260
138,164
224,167
17267,19480
15775,19806
18704,199
19196,661
286,19475
88,19002
15757,18705
200,224
15775,100
1454,15790
187,18715
217,164
18700,18695
15791,44
194,180
18917,199
19569,125
19748,127
18,183
15762,15787
18693,225
97,247
16351,152
180,18712
130,17134
18695,19748
15794,15776
15757,167
163,49
138,18715
224,18718
15784,270
224,16503
168,127
112,19480
18695,271
201,19000
19146,207
200,116
15784,18700
18882,97
18695,18701
18714,16728
120,352
191,19480
19996,15774
15770,19475
270,296
182,183
127,247
50,18723
129,19016
18736,164
15757,18718
18716,19928
15757,16503
19569,17629
187,18728
271,117
20051,141
208,19016
263,18723
16180,15788
199,19196
154,19948
17267,17628
18708,38
19016,154
4434,39
352,15762
17267,366
18265,1454
278,12
19637,18702
55,18693
167,181
15784,18713
16582,18693
99,18736
15767,50
38,18726
18705,154
18716,19002
18727,172
4434,160
246,181
265,194
18707,18953
18718,352
366,246
655,120
18726,213
184,19948
112,17628
18712,49
18706,17267
181,200
17267,18917
120,15762
112,366
17267,18688
139,17990
19146,19000
152,20144
19475,15792
16073,18708
271,130
191,17628
15785,225
18725,16728
18725,18714
17990,18265
55,19982
19000,18882
19637,15790
16582,19982
19016,167
154,15760
191,366
18694,116
352,17990
1454,180
18718,244
366,138
130,127
116,192
15792,120
15762,19196
88,130
18882,352
18728,19133
15776,112
10107,123
18717,18715
80,18699
16582,18706
18736,18728
19982,145
49,138
18705,167
15785,117
266,16351
17267,15776
18708,172
18697,18736
213,246
72,270
172,208
16728,19928
19016,18718
19920,206
191,18917
19016,16503
184,15760
116,84
191,18688
15760,18719
17628,213
15790,168
15776,4434
181,213
18698,127
19221,168
10107,244
19948,18698
220,141
18706,247
17360,139
19807,265
266,257
18715,15757
18700,173
19982,266
19996,164
123,208
17990,18736
19807,18695
257,208
18718,15762
19948,19637
55,15794
244,18699
260,213
264,19809
17629,34
18705,16503
213,138
172,100
214,15787
18705,18718
67,84
100,18691
112,15776
19480,55
84,20144
19480,18714
264,103
102,270
19196,19480
19569,15790
667,10107
257,19806
18701,24
18717,18728
80,18712
207,15784
164,17134
88,14372
178,265
352,152
197,278
191,15776
192,200
123,100
17134,213
247,16351
16072,123
197,18708
18729,19196
18710,18917
19480,176
18710,18688
18882,15762
78,34
24,15784
264,224
72,18713
19221,181
244,15787
88,264
129,265
192,19569
15776,246
19948,18711
18953,17628
160,103
201,141
220,154
18691,17628
247,257
19807,278
99,93
18714,84
18715,15770
18830,18726
18719,199
129,18695
19982,18709
39,19475
49,18702
120,152
80,15800
141,18705
15787,260
138,206
19480,18727
125,18697
271,15782
118,19475
160,224
16180,191
18704,12
102,18713
18695,192
173,163
12,15787
18701,18696
220,18705
17360,18703
217,206
189,17140
18726,15757
296,270
18953,18917
17629,168
18691,18917
138,17360
88,15782
18688,189
296,18700
224,17134
69,19475
18691,18688
16072,16351
15787,152
18694,18693
15791,16072
19196,17628
270,217
19637,72
127,168
139,1454
187,219
19196,366
247,270
217,17360
100,15792
352,286
16351,16180
18714,97
117,19637
18699,17990
668,34
18265,19684
247,18700
655,15785
18728,18691
352,18716
117,160
208,278
17141,19948
16072,257
19806,18725
19919,172
18265,207
139,178
103,225
246,19000
208,18708
152,117
138,219
97,181
20144,18720
125,18710
15793,24
55,184
19146,141
113,162
154,163
17360,286
18694,19982
201,18705
18726,15770
18725,84
18716,264
120,286
15792,15785
88,19996
117,18711
10107,15788
19569,180
296,18713
18,238
120,18716
16351,207
247,15788
4434,15770
15793,145
18736,17360
16610,138
16073,199
168,182
154,55
260,15757
18882,152
219,184
18709,18691
154,18714
19146,18692
43,187
15775,18706
18711,270
19146,15785
19569,72
18715,160
119,182
19196,15776
19637,206
366,59
182,238
15784,217
19982,655
18694,15794
192,17141
184,55
84,117
271,172
15791,112
184,18714
43,10107
207,187
15774,17141
120,18729
18728,15792
15788,43
15794,16073
116,17267
18718,286
197,20144
59,18719
18716,18707
163,117
18917,18697
278,67
16072,15788
121,120
219,655
19928,247
286,187
180,19948
18720,103
154,18727
18696,19637
18727,19475
67,17267
18711,18713
213,59
16351,19000
18,14372
264,24
18717,219
16728,264
18882,286
18720,224
15770,18725
16728,18694
225,69
176,9976
15794,100
88,18265
18882,18716
49,72
19000,278
184,18727
19000,18708
11702,88
18709,15792
19146,15793
18917,18710
19480,97
18696,18711
18726,160
130,182
9976,16728
667,121
16503,38
43,19919
44,667
19221,102
655,18726
176,69
15790,102
187,19146
17140,19806
18718,18729
176,18728
18700,17140
18706,181
18699,1454
19809,43
18710,11702
178,78
18708,19475
18719,120
189,18697
271,18736
18696,173
67,247
352,16180
1454,127
18699,178
278,201
264,266
18712,117
18698,182
15788,9976
19133,15790
16610,18715
139,16072
15776,59
16728,18707
217,19146
18882,18729
14372,18699
18719,12
110,15785
18710,192
352,16072
