Source,Target
17,5
17,24
17,33
17,43
17,47
17,49
17,64
17,67
17,70
17,71
17,80
17,82
17,93
17,95
17,96
17,97
17,116
17,120
17,121
17,130
17,133
17,149
17,154
17,163
17,173
17,179
17,180
17,183
17,184
17,187
17,193
17,194
17,195
17,197
17,198
17,199
17,201
17,205
17,210
17,212
17,216
17,217
17,223
17,224
17,235
17,244
17,246
17,249
17,257
17,259
17,260
17,264
17,272
17,273
17,279
17,280
17,288
17,297
17,303
17,350
17,362
17,379
17,651
17,653
17,654
17,671
17,676
17,677
17,678
17,725
17,801
17,1023
17,1090
17,1258
17,1280
17,1299
17,1325
17,1358
17,1362
17,1385
17,1455
17,1502
17,1755
17,1777
17,1822
17,1829
17,1844
17,1882
17,3082
17,3084
17,3085
17,3088
17,3090
17,4956
17,4969
17,5132
24,33
24,56
24,80
24,81
24,82
24,83
24,96
24,97
24,125
24,130
24,132
24,133
24,148
24,163
24,179
24,182
24,187
24,193
24,194
24,206
24,212
24,217
24,224
24,257
24,264
24,279
24,296
24,379
24,649
24,651
24,653
24,665
24,671
24,725
24,1090
24,1124
24,1258
24,1299
24,1357
24,1358
24,1822
24,1829
24,1951
24,3085
24,3090
24,4515
24,4956
24,4969
33,97
33,133
33,187
33,193
33,212
33,264
33,379
33,653
33,671
33,1258
33,1280
33,1358
33,1822
38,224
38,257
43,24
43,33
43,47
43,64
43,95
43,97
43,120
43,133
43,187
43,193
43,197
43,199
43,201
43,212
43,224
43,244
43,246
43,257
43,260
43,264
43,272
43,273
43,280
43,288
43,362
43,379
43,651
43,653
43,678
43,1258
43,1280
43,1358
43,1385
43,1822
43,3085
47,24
47,33
47,64
47,67
47,80
47,97
47,116
47,130
47,133
47,173
47,179
47,180
47,187
47,193
47,199
47,201
47,210
47,212
47,224
47,235
47,257
47,260
47,264
47,272
47,279
47,280
47,362
47,379
47,651
47,653
47,671
47,678
47,1258
47,1280
47,1299
47,1358
47,1822
47,3085
49,24
49,33
49,47
49,56
49,64
49,70
49,72
49,80
49,81
49,82
49,83
49,93
49,94
49,96
49,97
49,98
49,108
49,120
49,121
49,124
49,125
49,129
49,130
49,132
49,133
49,148
49,163
49,173
49,178
49,179
49,180
49,182
49,183
49,184
49,187
49,193
49,194
49,197
49,201
49,205
49,206
49,210
49,211
49,212
49,216
49,217
49,223
49,224
49,244
49,246
49,249
49,257
49,259
49,260
49,264
49,271
49,272
49,279
49,280
49,288
49,296
49,303
49,362
49,365
49,379
49,648
49,649
49,651
49,653
49,665
49,668
49,671
49,676
49,677
49,678
49,725
49,1090
49,1124
49,1146
49,1258
49,1299
49,1325
49,1357
49,1358
49,1371
49,1378
49,1454
49,1502
49,1755
49,1777
49,1822
49,1829
49,1844
49,1882
49,1951
49,2103
49,3082
49,3084
49,3085
49,3088
49,3090
49,4515
49,4956
49,4968
49,4969
50,24
50,49
50,56
50,64
50,70
50,80
50,82
50,83
50,93
50,96
50,98
50,108
50,120
50,124
50,125
50,129
50,130
50,133
50,163
50,173
50,178
50,179
50,180
50,182
50,183
50,193
50,194
50,201
50,206
50,210
50,211
50,212
50,216
50,217
50,223
50,257
50,259
50,271
50,279
50,303
50,362
50,365
50,648
50,651
50,665
50,668
50,676
50,677
50,725
50,1090
50,1124
50,1146
50,1299
50,1371
50,1378
50,1755
