Source,Target
20305,20932
20750,21548
21163,20963
21168,21307
20505,20963
21355,21133
21556,29525
20119,20927
21332,21149
21313,20907
21349,21318
21342,20147
29776,21507
29375,21163
29925,29709
29337,14263
14873,29379
14854,29137
20110,39308
15410,20724
21325,29777
15124,20330
15621,21136
20948,21159
20147,29741
15445,20910
21140,21329
21561,21359
21351,21549
20754,10713
21538,21375
39301,21352
21123,21133
21175,21323
20925,21148
21167,29541
21343,20907
21563,29541
21100,21149
10713,20723
21117,21318
21513,21318
21530,20733
20907,21508
21110,20147
20530,21558
21536,31101
21545,29901
29587,29313
20959,29777
21515,21364
29572,20522
21566,21329
21514,21139
20110,21349
39305,20720
20103,20932
20708,20517
21508,21324
21549,21133
20145,21343
21516,29321
20119,20122
20962,21565
21306,21375
21323,21544
29777,20927
20337,21513
21526,21149
21331,29541
29776,20702
21562,21560
20139,21528
29762,21558
29710,29504
21313,29901
15085,20351
21124,21334
29778,20748
21132,29331
29759,20506
21335,21554
21376,21555
15446,29375
21544,21139
20759,29500
21334,21329
15448,21342
21308,20108
29377,21343
20134,21534
20715,29393
20915,21345
21111,29393
21546,29321
21150,29321
21556,21149
20705,21508
21142,21509
21159,20924
21343,29901
20531,21355
10713,29717
21329,21335
21162,29331
29331,21348
21177,21503
29348,20763
29573,29741
29707,29741
20910,21159
20754,39305
20304,21349
20959,29911
20357,21175
20147,21365
29777,20122
20145,20538
21141,29393
21156,21565
21526,20344
13035,15444
21562,20755
21333,20703
21167,21165
21124,20529
21189,20924
21507,29901
20910,21509
20542,21113
21335,20749
21545,21525
20343,29763
21503,20333
15448,20537
20706,20955
20310,20955
29759,29500
21368,20108
21369,29378
21502,20108
29377,20538
20134,20729
20521,21175
14657,20947
21340,15616
21345,20124
21109,21345
29571,21343
21522,21514
20763,20708
21558,21171
21563,21515
21556,20344
20952,21361
29109,20723
21330,20755
21321,29337
21142,20704
20514,21135
29774,21113
21565,21561
21331,21165
21357,20134
29559,20959
29908,21113
20725,21355
21174,21181
20119,21545
21375,29573
21313,21525
21113,29573
20702,21371
21500,21351
20340,20955
20959,29106
15612,20537
15410,21342
20129,29588
20330,29312
21509,20124
29709,20122
29559,21309
15445,21528
29760,29701
20720,21361
21131,20703
15444,21303
20910,20704
20119,13035
21132,21305
21545,20720
20755,21355
20729,20134
21343,21525
21317,20304
21377,20355
10713,21341
20537,29763
20504,20955
20108,20955
21354,21125
29573,21365
21111,21367
29571,20538
15612,15410
29763,20708
20723,20504
29701,21550
20750,21361
21185,20535
20538,20724
21355,20946
21319,14873
29137,29321
21558,21305
21162,21305
29777,21545
20344,29718
21516,29939
21332,20962
20532,20909
21313,20720
21349,21131
21523,20530
20310,15612
21347,20304
29903,29763
20762,21371
21543,21182
20104,21371
21534,20130
21172,29348
15410,20537
29393,21555
20535,21557
20321,29707
29559,20504
20703,21141
21190,20505
20955,21362
15446,21133
29777,13035
21101,21187
20738,21135
21106,21531
21519,20946
21555,21357
21175,21136
21546,29939
21150,29939
21553,20530
21343,20720
29939,20910
20715,21151
21100,20962
20340,15612
21513,21131
21117,21131
21177,21182
20119,15613
20907,21321
21303,21321
15029,21195
29504,20955
21302,20130
29346,21335
29316,20904
21305,21367
20909,21367
20110,21162
29328,29774
21321,21311
21111,15085
20708,20330
20715,15085
20522,21106
20748,15033
21508,21137
21532,21531
15603,20908
21323,21357
29134,29908
39308,21181
21526,20962
21562,21373
20108,15612
20505,20910
29710,29317
20307,20925
20138,21116
15603,15431
20518,21337
21517,29709
29717,29707
20301,20356
20729,21557
20333,21557
21554,29776
20527,20110
20959,15603
21368,20726
21502,20726
21175,20331
20134,21347
20948,21106
21116,29550
21536,20310
29729,29717
15431,20959
20715,20346
21556,20962
29777,15613
20342,29375
29109,21341
29911,15613
21330,21373
20325,21100
20705,21321
21175,14854
29137,20356
20331,20356
21196,21558
21540,21368
21124,20343
20110,20357
20506,21111
20748,29504
15029,21329
21364,21142
20758,21332
21128,20111
20111,21521
21188,20916
20522,20301
15603,20103
20926,20916
20909,15085
15124,21566
21305,15085
20337,20521
21314,29134
15616,15612
21128,29910
29328,29908
21321,15029
29504,15612
20727,20706
21150,21563
14854,20924
20129,20757
21359,21148
21510,21317
29762,21505
20904,21507
29500,21505
29588,21352
29932,21162
15033,20108
21504,20748
21136,20352
21184,21332
21352,29776
21528,21142
29561,29328
20915,20353
20948,20301
21302,21553
20316,21522
15438,21325
21195,20932
21317,15445
20537,20932
13035,29378
15448,14873
21516,20758
20757,20706
21538,20517
29709,15613
20514,20948
20538,21342
20918,21563
21355,21564
21523,21148
20119,21358
29331,20356
20532,21527
21364,20337
20304,20357
20531,21302
21515,20506
20749,29109
21188,20111
20926,20111
20346,21522
21516,21108
21507,21554
21540,21502
21188,29910
21331,21328
21347,15445
21116,21174
20926,29910
20357,21122
21190,21123
21546,20758
20147,21312
21150,20758
21308,21344
29316,21172
21172,20517
21306,20517
21108,20532
21123,21564
29939,21528
14263,21371
29932,20357
20336,21184
21186,21354
15613,15448
21184,20527
21528,20337
21337,21523
20517,29109
21111,21180
21505,20353
21546,21108
20343,29710
21522,20522
29741,20762
20521,21122
20514,20143
20330,21554
20538,20537
20918,20758
21128,21534
21355,20759
29134,20727
21549,21564
29710,20136
21516,29752
20952,21308
29777,21358
29525,20356
21505,20703
29337,20305
21350,21354
21372,21113
20307,21543
29718,21128
21364,29331
20136,20907
21132,29762
21139,20353
29313,29710
20356,29541
21515,29500
21140,20955
21164,21349
20329,31101
21365,29741
21176,21174
21529,20538
21351,21175
21368,21344
20305,15431
21543,21345
20738,20948
21123,20759
21519,20759
21555,21170
21175,20949
21546,29752
20538,15410
15613,29919
21150,29752
20720,21308
20962,29701
21535,20703
21167,20307
20530,21184
21159,21355
20529,20959
21162,29762
20909,21180
21305,21180
20124,29541
21528,29331
20336,21318
20941,29763
29561,31101
21566,20955
20733,20954
29328,29587
21321,21124
29573,21312
20330,20749
29910,20143
29328,20727
21373,29393
21549,20759
20926,21534
20530,21534
21349,20139
21165,21550
20918,29752
29707,20723
21562,21186
21180,20138
29762,21184
21565,20703
21185,14066
29500,21184
20727,21324
99911,21530
21148,21354
21189,21355
20129,21375
21332,20909
29752,29541
29561,20147
21525,31103
21527,21350
20916,21196
20136,29901
15085,20916
20343,21334
29778,21313
20738,20143
20103,15431
21513,20139
20955,21309
21330,21186
21321,29768
20757,21324
21142,21135
29346,20343
29925,20959
20107,29321
21100,20909
20355,20755
20704,20909
21140,15612
21177,21129
20748,29317
29368,29901
20934,21371
29321,29331
21188,20729
29760,20333
29137,21108
20926,20729
21316,29774
20122,20934
20963,21550
21357,20915
29901,20723
20727,20519
21150,21376
20138,20124
20910,21135
20356,21515
21171,20910
29550,29541
29729,21370
20908,15612
29762,21318
29500,21318
15085,20111
20343,20529
15085,29910
21563,21141
20916,21330
21353,21331
20955,20504
21521,20915
20757,20519
20705,20329
20915,21105
21538,20330
20920,15033
20918,21376
21362,20104
20708,21566
21528,21305
29346,29337
21349,21562
20542,15612
21362,29903
21178,20926
29313,20529
20531,21115
21129,29143
20706,15454
21196,21505
21540,21315
29331,21108
20110,20304
29759,21555
20122,20129
21331,21141
21357,20110
21551,20915
20527,21346
21172,20330
21306,20330
21115,21516
21316,29908
21333,29323
21123,21377
21149,20346
29752,21515
29901,29717
20932,20119
20947,21151
29908,15612
21513,21562
20759,21100
14873,21113
21117,21562
21167,20925
21186,21167
20946,20926
20748,20941
29316,21335
29368,21525
29729,21504
21563,20336
20353,21351
21103,20351
21151,21331
21521,20110
29587,20108
20763,29328
21302,21500
21128,21347
29778,39301
21549,21377
21101,29323
20532,20535
21373,21151
29707,21341
20724,20705
29378,20119
20918,21510
21350,21167
29321,21305
15444,29573
29701,21526
20346,20530
21323,29143
21332,21527
20136,20720
21137,29919
29393,21181
20504,15454
39305,21314
21500,21111
29375,21541
29323,21351
21164,21162
21181,21331
29741,15448
21551,20110
15085,21534
15446,20759
20704,21177
15124,20708
29317,21536
21139,21105
21180,21106
20526,20316
21527,29323
21314,15444
29550,21515
20947,20346
29393,21531
21325,20706
21337,20531
20325,21531
20342,20946
21192,21116
20748,20136
29368,20720
20107,29939
15446,21109
