Source,Target
267,830
267,948
267,1077
267,2009
267,2605
267,3078
267,4957
267,5101
267,6584
267,6661
267,6845
267,7333
267,7343
267,7610
267,7824
267,8080
267,8672
267,8824
267,9322
267,9551
267,9623
267,10391
267,10421
267,10463
267,10500
267,10511
267,10520
267,10540
267,10561
267,10566
267,10573
267,10582
267,10583
267,10587
267,10595
267,10601
267,10602
267,10609
267,10613
267,10621
267,10633
267,10703
267,10705
267,10726
267,10732
267,10733
267,10739
267,10760
267,10768
267,10784
267,11013
267,12001
267,12004
267,12027
267,12030
267,12036
267,12038
267,12042
267,13003
267,13009
267,13010
267,13013
267,13024
267,13026
267,13033
267,13035
267,13040
267,14001
267,14016
267,14029
267,14039
267,14055
267,14067
267,14072
267,14075
267,14201
267,14202
267,14205
267,14206
267,14208
267,14209
267,14210
267,14212
267,14214
267,14215
267,14217
267,14222
267,14223
267,14224
267,14230
267,14231
267,14233
267,14238
267,14248
267,14250
267,14253
267,14254
267,14257
267,14264
267,14265
267,14266
267,14274
267,14275
267,14277
267,14278
267,14282
267,14284
267,14285
267,14289
267,14400
267,14405
267,14406
267,14407
267,14413
267,14416
267,14421
267,14423
267,14424
267,14425
267,14430
267,14431
267,14434
267,14435
267,14440
267,14443
267,14444
267,14445
267,14448
267,14458
267,14460
267,14463
267,14464
267,14465
267,14467
267,14471
267,14600
267,14601
267,14603
267,14604
267,14607
267,14613
267,14624
267,14625
267,14626
267,14629
267,14631
267,14632
267,14638
267,14643
267,14646
267,14648
267,14649
267,14650
267,14651
267,14653
267,14656
267,14658
267,14663
267,14665
267,14666
267,14667
267,14673
633,830
633,948
633,1077
633,1087
633,2009
633,2525
633,2533
633,2605
633,3078
633,3321
633,4957
633,5101
633,5495
633,6455
633,6584
633,6661
633,6845
633,7343
633,7610
633,7824
633,7845
633,8080
633,8672
633,8824
633,8866
633,9017
633,9623
633,9802
633,10075
633,10391
633,10421
633,10463
633,10511
633,10517
633,10520
633,10525
633,10528
633,10540
633,10550
633,10561
633,10566
633,10569
633,10574
633,10579
633,10582
633,10583
633,10587
633,10588
633,10596
633,10601
633,10602
633,10606
633,10607
633,10609
633,10613
633,10614
633,10616
633,10621
633,10626
633,10633
633,10703
633,10705
633,10706
633,10710
633,10716
633,10717
633,10719
633,10721
633,10722
633,10726
633,10732
