Source,Target
14404,11023
14259,14806
14235,14220
14655,14806
14825,7081
14438,10607
14405,14631
10712,14860
12008,10421
10786,14809
14876,14216
14657,14852
14648,10602
14634,14868
14214,14282
14262,13010
10595,14460
14040,10719
14062,94428
13002,14662
10588,11037
14053,8672
12033,14800
14051,12009
14208,14467
14273,14862
14879,14672
14417,14052
14625,13035
13018,14606
3078,10705
14434,11023
10583,14076
14038,11023
14265,14220
14669,14273
10734,14245
14044,14221
14214,14632
11057,10734
14004,14822
14627,14801
14429,14062
14434,14406
14833,10705
13047,14031
14222,10551
14227,14867
14282,10602
14249,14626
14285,14283
14430,10500
14039,14816
14624,7333
14416,10602
14451,10788
11037,14404
5495,14227
14826,14637
835,14667
10596,14661
14464,11023
14438,9802
14816,14858
14057,14806
10788,14831
9802,14800
10786,14004
14222,14873
10502,14245
14444,6584
14220,14046
14832,14802
14464,14406
14068,14406
14070,12035
14617,14648
14636,10726
14808,14216
10561,14825
14460,10500
14053,14283
10421,14256
14273,14057
12036,14266
14877,10788
14208,830
14448,14812
14861,14227
10463,14667
14219,10788
2605,14406
14613,14879
94628,14259
14611,14052
14423,14001
14631,10732
14257,14463
14427,14874
14444,14289
12003,10561
10719,14071
14857,14458
14666,10726
14862,14802
14251,14648
14879,14217
14041,14838
14872,10794
8010,14470
14402,14817
14610,10794
14274,14817
3078,14222
14224,13010
10607,14015
14874,14812
14249,10788
14645,2525
14075,14607
14818,14880
14816,14053
14833,14222
14601,14653
14642,14654
14661,10732
14222,14068
99907,6455
14269,14823
14625,14458
14071,14838
11058,14826
13011,14858
12001,11023
14809,14013
1077,8672
14812,14284
14607,14818
14062,10588
14280,14423
11035,14842
11035,94628
14070,14613
14206,12030
10773,14842
14426,14248
14624,14233
14276,10517
14844,14007
10732,2009
14281,14833
12001,14406
14400,10583
14618,14418
9017,14600
14600,10614
14660,14829
12036,14400
14806,14654
14410,14654
14880,14603
10768,2605
14855,10574
10588,7333
14041,14033
10705,8672
14201,12036
14445,14648
14839,14013
14276,14839
14670,10794
10551,14621
14804,10794
14444,14423
13035,14289
10588,10716
14614,14834
6455,14645
14612,14007
14044,10517
8010,14604
14801,14660
14438,14608
14818,14075
14842,14469
13042,14679
13036,14864
14858,14413
14648,14603
14417,14670
11041,14606
14071,14033
13011,14053
1077,14283
14802,12037
14869,14013
14650,14649
14282,14253
14277,1077
14264,14613
14644,14834
14620,14248
14467,11000
10551,3078
11020,94454
14055,14439
14201,14264
14638,14265
14646,14880
10391,14874
14854,14829
14613,14208
14282,14603
14449,10579
14807,11041
10566,2605
10705,14283
14411,14259
14416,14603
13024,14638
14622,14671
14603,14429
12007,13042
14421,11005
14655,14619
14832,12037
14637,14013
14405,14444
10786,14622
10609,10788
10502,14863
14876,14029
14404,14219
14631,11000
14235,11000
14849,14835
14400,11067
14651,14850
13018,11036
14406,14265
14411,14609
10602,6584
12011,14854
10075,14237
14208,14280
14626,14039
14875,10579
14818,14209
13042,14813
14611,14670
14652,14671
10588,14233
12037,13042
14284,14275
14466,12037
6584,14600
14633,14429
14862,12037
14070,13003
14643,10421
14681,10713
14214,14445
14627,14614
14004,14635
14214,12001
14021,14804
14274,8080
14417,14804
13021,14875
14434,14219
14802,14615
14838,14834
14039,14629
