Source,Target
29109,20105
15104,29127
20538,20911
29559,20341
20345,14854
20752,29730
29379,20905
29127,29729
20719,20922
20355,29505
14873,29379
15613,29943
29524,20505
15049,15083
15083,20329
15124,20330
15454,29132
29315,20331
29903,20501
20964,29771
29705,20516
20711,29325
29360,29149
20765,29561
29519,20511
20957,29731
10713,20723
20336,20753
29771,20732
29134,29745
20958,20507
20959,29777
29106,15619
29572,20522
20519,39304
29943,29325
29718,20347
39305,20720
20765,29911
20103,20932
20538,20106
14256,20119
29777,20927
20102,20707
20533,29561
29776,20702
29380,20702
29710,29504
15085,20351
20935,14265
20726,20507
29778,20748
14647,20125
20341,29741
20924,29567
20528,29567
20305,15000
20533,29911
29730,20707
20715,29393
29149,20927
15104,20751
20539,20307
29519,29505
21101,15092
10713,29717
15634,20916
29573,29741
29915,39304
20501,20954
29348,20763
14072,29585
29380,29346
20765,29106
21996,20108
15029,15100
29777,20122
29718,29341
20103,29926
15005,20341
20745,20533
13035,15444
20918,29321
90901,15634
29937,20754
20129,20944
29931,20939
29585,20302
29149,29571
20739,29763
20343,29763
15448,20537
20706,20955
20310,20955
20326,15072
20533,29106
20743,39304
14854,15634
20763,20708
29109,20723
20513,20533
21101,20703
29317,15010
15104,29745
15446,39308
20944,20719
29559,20959
20949,14647
20136,20960
15029,20711
20507,29763
20719,15124
15612,20537
20321,20713
20129,29588
20716,14072
14435,29771
15619,20927
29709,20122
20711,29943
20147,15083
29401,29768
20910,20704
20502,29769
20119,13035
20712,20719
29368,20960
29764,20960
20307,29301
20129,29938
20746,29348
29571,20538
20729,14657
20333,14657
29763,20708
20506,29137
20723,20504
20735,15603
20763,29702
20538,20724
29377,14256
29378,29942
20532,20909
15619,29571
20310,15612
20944,29713
20719,20735
29587,15005
29903,29763
29717,20713
20911,20905
29396,2605
15029,29705
15621,20949
29315,20144
15619,20122
20321,29707
20929,20730
29559,20504
29705,20329
20527,20915
21993,14413
20735,14448
20958,29769
20764,20104
20300,20909
20119,15613
20712,29713
20764,29903
20519,29318
20706,29144
29360,29312
15072,29378
15100,14430
39305,20533
21996,20726
20103,20745
29328,29774
29763,29702
20748,15033
29777,20740
20726,29769
15005,20959
29134,29908
14256,29731
20918,29939
20505,20910
29710,29317
15049,20507
20136,29149
20307,20925
20961,13047
39300,20539
15603,15431
29742,20904
20719,29729
20931,20752
29328,2605
29717,29707
20301,20356
29585,20920
20527,20110
20959,15603
15453,15083
20516,15033
29729,29717
29149,20740
20302,20931
20739,20932
29378,90964
29393,21100
20342,29375
29911,15613
29764,29149
20108,29733
20325,21100
29317,15628
29915,29318
29731,20341
14280,20302
20107,29508
29137,20356
20319,14869
20110,20357
20347,20300
29748,15033
20909,15085
20931,29396
29585,29564
15616,15612
20507,20932
29127,15100
20937,20516
20307,20120
29923,29559
20129,20757
29735,29508
29931,20752
20930,29144
29149,29384
29301,20356
20519,20942
29339,39307
20931,29746
20301,29350
29701,14813
15445,39300
20948,20301
15005,15616
29943,20762
20734,15619
15413,20514
15010,29923
29504,29733
20757,20706
20705,20516
20302,29925
20514,20948
20355,20137
15245,15453
20942,29504
29313,20716
15612,20350
20758,20527
20749,29109
29524,20936
20129,29401
20338,15245
29931,29396
20752,20712
15619,20740
29127,20711
29903,20932
29919,15049
29901,20105
20943,29325
20525,20706
15420,20530
14644,14647
20740,15410
29703,29919
20123,20137
29915,20942
29301,29350
20958,20938
20356,15420
20517,29109
20328,20542
15245,99911
20106,15245
29572,20953
29313,29360
29778,14413
20514,20143
20538,20537
29134,20727
20918,20758
15413,29508
20350,14824
29710,20136
15619,29384
29525,20356
29337,20305
29378,20306
29769,20716
29942,29504
29524,20131
20726,20938
20124,15420
29313,29710
14430,15603
20904,29346
20147,20507
20527,20728
15446,20946
20933,15000
20305,15431
20738,20948
29384,20501
15613,29919
29519,20137
15420,29524
20341,20723
20539,20738
29771,20358
20945,15010
20731,20908
29731,20959
29752,15420
29356,15420
29106,15245
20733,20954
29380,29777
29328,29587
29384,14435
29910,20143
20347,20918
14430,14448
29134,29721
20745,20964
20918,29752
29776,20328
20730,29701
29775,29525
20307,20738
20744,20739
20713,15010
20317,15010
29525,29350
39300,20352
20936,20909
29124,15420
29769,29710
20306,20513
29585,20733
20954,15072
20738,20143
20948,20919
20302,20744
20739,20745
20358,29721
29101,10713
20513,20964
20731,20103
29346,20343
20107,29321
21100,20909
20355,20755
29312,20732
14413,29504
20301,94828
20937,29778
20347,20113
29316,14435
20936,29553
29585,29377
20122,20934
20507,20745
20120,20107
20937,20329
29901,20723
20943,29943
29744,20739
20501,20930
29713,15010
29735,29321
20332,20929
15454,20732
20728,90327
20744,29733
20123,20755
15453,20507
20931,29559
20745,20509
29360,20749
20138,14647
20705,29778
20511,20113
14265,15619
20738,29137
20511,29912
20115,29912
20723,20935
29109,20349
20914,20503
29939,39300
20757,20519
20705,20329
29721,20913
20955,20504
20920,15033
90901,20521
29908,20739
29346,29337
20938,15612
20542,15612
20908,29733
14280,29109
20942,29317
29301,94828
29313,20529
29744,29383
29348,29383
20752,20525
13035,14265
20122,20129
29559,20935
29903,20745
20736,15104
20340,15104
20525,20519
20332,20124
29901,29717
15612,20513
20927,15049
29519,20755
20129,29564
20945,15628
20922,20340
20958,20751
20736,15454
29383,14451
39305,20964
20951,29379
29721,20108
20915,20300
20504,15104
20108,15104
20538,20350
20763,29328
29748,29101
39304,20739
14435,15410
20345,20709
15413,29321
20102,20951
29775,20344
20940,15634
13035,29325
20532,20535
20917,20346
21101,29323
29938,15612
20944,29339
20724,20705
29339,20945
29564,29923
29908,29733
29378,20119
29710,29748
29769,20529
29942,29317
15049,20938
20713,15628
20317,15628
20129,21993
20726,20751
20504,15454
29741,15448
15446,20759
20122,29123
20526,20316
20930,20931
20300,20535
20712,29339
29525,94828
29922,20340
20101,20325
14280,20733
20107,29939
20942,20941
20947,14869
20941,20716
20946,14644
29504,15104
20916,29519
15083,21996
2605,29710
20943,20762
29339,20140
39304,29733
20754,14824
29713,15628
29735,29939
29776,29940
39305,20509
20306,20326
20935,29919
14824,20954
20751,20942
29736,20715
20742,29524
15444,29707
20929,29350
20736,29709
20340,29709
29101,29774
20763,20952
29380,15603
20301,20332
21101,20947
20942,20136
29942,20941
14413,29317
20731,29715
15029,20955
20313,20342
39301,15448
