Source,Target
14066,14657
14066,14854
14066,14863
14066,15446
14066,20124
14066,20138
14066,20301
14066,20307
14066,20316
14066,20325
14066,20342
14066,20344
14066,20355
14066,20356
14066,20357
14066,20518
14066,20521
14066,20522
14066,20527
14066,20530
14066,20531
14066,20532
14066,20535
14066,20703
14066,20704
14066,20709
14066,20725
14066,20729
14066,20738
14066,20755
14066,20756
14066,20758
14066,20759
14066,20903
14066,20909
14066,20916
14066,20926
14066,20946
14066,20947
14066,20948
14066,20962
14066,21101
14066,21103
14066,21105
14066,21106
14066,21108
14066,21111
14066,21116
14066,21122
14066,21123
14066,21128
14066,21132
14066,21139
14066,21142
14066,21148
14066,21149
14066,21150
14066,21162
14066,21163
14066,21165
14066,21167
14066,21174
14066,21178
14066,21179
14066,21182
14066,21187
14066,21188
14066,21191
14066,21192
14066,21193
14066,21196
14066,21302
14066,21305
14066,21317
14066,21323
14066,21328
14066,21330
14066,21331
14066,21333
14066,21337
14066,21346
14066,21348
14066,21349
14066,21351
14066,21353
14066,21355
14066,21356
14066,21359
14066,21360
14066,21364
14066,21367
14066,21373
14066,21376
14066,21500
14066,21503
14066,21510
14066,21513
14066,21514
14066,21515
14066,21516
14066,21519
14066,21523
14066,21526
14066,21531
14066,21539
14066,21541
14066,21542
14066,21543
14066,21544
14066,21549
14066,21550
14066,21551
14066,21556
14066,21557
14066,21559
14066,21561
14066,21562
14066,21563
14066,21564
14066,21565
14066,21700
14066,21701
14066,21702
14066,21704
14066,21705
14066,21708
14066,21710
14066,21714
14066,21717
14066,21718
14066,21719
14066,21720
14066,21724
14066,21725
14066,21727
14066,21731
14066,21734
14066,21735
14066,21737
14066,21744
14066,21745
14066,21750
14066,21751
14066,21753
14066,21755
14066,21757
14066,21758
14066,21759
14066,21760
14066,21901
14066,21903
14066,21905
14066,21908
14066,21911
14066,21920
14066,21924
14066,21925
14066,21926
14066,21927
14066,21929
14066,21935
14066,21936
14066,21945
14066,21946
14066,21952
14066,21956
14066,21957
14066,21959
14066,21961
14066,21967
14066,21969
14066,21970
14066,21971
14066,21973
14066,21974
14066,21981
14066,21982
14066,21984
14066,21985
14066,29323
14066,29375
14066,29393
14066,29550
14066,29572
14066,29701
14066,29718
14066,29760
14066,29762
14066,29910
14066,29932
14066,31102
14657,14854
14657,14863
14657,15446
14657,20124
14657,20138
14657,20301
14657,20307
14657,20316
14657,20325
14657,20342
14657,20344
14657,20355
14657,20356
14657,20357
14657,20518
14657,20521
14657,20522
14657,20527
14657,20530
14657,20531
14657,20532
14657,20535
14657,20703
14657,20704
14657,20709
14657,20725
14657,20729
14657,20738
14657,20755
14657,20756
14657,20758
14657,20759
14657,20903
14657,20909
14657,20916
14657,20926
14657,20946
14657,20947
14657,20948
14657,20962
14657,21101
14657,21103
14657,21105
14657,21106
14657,21108
14657,21111
14657,21116
14657,21122
14657,21123
14657,21128
14657,21132
14657,21139
14657,21142
14657,21148
14657,21149
14657,21150
14657,21162
14657,21163
14657,21165
14657,21167
14657,21174
14657,21178
14657,21179
14657,21182
14657,21187
14657,21188
14657,21191
14657,21192
14657,21193
14657,21196
14657,21302
14657,21305
14657,21317
14657,21323
14657,21328
14657,21330
14657,21331
14657,21333
14657,21337
14657,21346
14657,21348
14657,21349
14657,21351
14657,21353
14657,21355
14657,21356
14657,21359
14657,21360
14657,21364
14657,21367
14657,21373
14657,21376
14657,21500
14657,21503
14657,21510
14657,21513
14657,21514
14657,21515
14657,21516
14657,21519
14657,21523
14657,21526
14657,21531
14657,21539
14657,21541
14657,21542
14657,21543
14657,21544
14657,21549
14657,21550
14657,21551
14657,21556
14657,21557
14657,21559
14657,21561
14657,21562
14657,21563
14657,21564
14657,21565
14657,21700
14657,21701
14657,21702
14657,21704
14657,21705
14657,21708
14657,21710
14657,21714
14657,21717
14657,21718
14657,21719
14657,21720
14657,21724
14657,21725
14657,21727
14657,21731
14657,21734
14657,21735
14657,21737
14657,21744
14657,21745
14657,21750
14657,21751
14657,21753
14657,21755
14657,21757
14657,21758
14657,21759
14657,21760
14657,21901
14657,21903
14657,21905
14657,21908
14657,21911
14657,21920
14657,21924
14657,21925
14657,21926
14657,21927
14657,21929
14657,21935
14657,21936
14657,21945
14657,21946
14657,21952
14657,21956
14657,21957
14657,21959
14657,21961
14657,21967
14657,21969
14657,21970
14657,21971
14657,21973
14657,21974
14657,21981
14657,21982
14657,21984
14657,21985
14657,29323
14657,29375
14657,29393
14657,29550
14657,29572
14657,29701
14657,29718
14657,29760
14657,29762
14657,29910
14657,29932
14657,31102
14854,14863
14854,15446
14854,20124
14854,20138
14854,20301
14854,20307
14854,20316
14854,20325
14854,20342
14854,20344
14854,20355
14854,20356
14854,20357
14854,20518
14854,20521
14854,20522
14854,20527
14854,20530
14854,20531
14854,20532
14854,20535
14854,20703
14854,20704
14854,20709
14854,20725
14854,20729
14854,20738
14854,20755
14854,20756
14854,20758
14854,20759
14854,20903
14854,20909
14854,20916
14854,20926
14854,20946
14854,20947
14854,20948
14854,20962
14854,20963
14854,21101
14854,21103
14854,21105
14854,21106
14854,21108
14854,21111
14854,21116
14854,21122
14854,21123
14854,21128
14854,21132
14854,21139
14854,21142
14854,21148
14854,21149
14854,21150
14854,21162
14854,21163
14854,21165
14854,21167
14854,21174
14854,21178
14854,21179
14854,21182
14854,21187
14854,21188
14854,21191
14854,21192
14854,21193
14854,21196
14854,21302
14854,21305
14854,21317
14854,21323
14854,21328
14854,21330
14854,21331
14854,21333
14854,21337
14854,21346
14854,21348
14854,21349
14854,21351
14854,21353
14854,21355
14854,21356
14854,21359
14854,21360
14854,21364
14854,21367
14854,21373
14854,21376
14854,21500
14854,21503
14854,21510
14854,21513
14854,21514
14854,21515
14854,21516
14854,21519
14854,21522
14854,21523
14854,21526
