Source,Target
206,217
15789,183
266,268
224,16072
18725,19196
15799,147
49,18700
18705,18729
20374,15784
19480,18725
125,18695
11702,1454
129,155
15795,378
20380,1454
220,273
17360,271
102,18711
260,20051
12,15785
15776,16351
15793,15766
15784,20376
266,20805
4434,655
38,20389
180,93
286,15795
24,15795
213,18700
20381,15800
245,1619
15788,15772
667,19809
19982,18720
176,15785
43,20359
208,18706
15787,271
138,217
20361,18716
15762,214
154,161
20559,20394
220,18716
18708,667
15764,260
130,15790
15775,20798
18717,20378
19748,180
18688,200
296,18711
18729,201
207,172
20358,109
192,20051
20051,20368
15757,220
191,20580
79,17141
18721,15774
125,15796
123,19133
15775,18704
17140,72
18698,15790
16072,18698
88,3082
20349,181
73,18265
164,17629
18736,217
20365,125
4956,15773
249,182
18,249
18278,278
152,249
100,59
18713,206
206,15761
197,20371
18917,18695
59,18717
16582,87
191,9976
20379,181
194,17629
38,120
112,18728
18713,17360
18706,20353
160,15766
20372,141
20362,20364
15768,16728
18704,278
15779,113
182,249
20365,17629
209,352
95,13836
20496,20364
20380,20381
181,24
262,20365
17140,206
101,260
82,18
224,17629
109,121
183,70
15781,16374
15798,15789
19000,18706
20386,197
235,260
20366,15760
1146,117
20559,125
15774,119
88,183
20395,17629
20387,18
20393,20966
15765,1504
18701,18265
16473,278
18695,19948
265,260
214,19920
15790,221
20360,265
20364,20386
17990,130
18728,59
16728,18705
20559,17629
77,19807
260,266
20376,20396
18953,9976
252,11702
18691,9976
16503,278
18725,19948
244,19920
87,15772
17360,84
247,189
20390,265
20790,20386
197,102
18709,20354
113,20376
163,15767
139,97
1845,18719
273,97
67,18688
172,18704
28,266
20820,18693
201,194
72,1504
21076,20376
20360,18708
118,159
12,19920
18704,20360
252,16374
20380,112
18713,19133
260,18709
116,271
1146,14372
172,16610
15787,84
147,15799
206,164
15789,130
192,266
74,18704
19982,224
19016,17629
20358,15787
102,1504
19196,18728
15764,73
20361,220
176,19920
119,17134
18711,20376
15794,17628
18697,15782
187,272
18953,661
74,16610
16180,16351
20385,18714
15760,15765
20388,15787
48,113
164,16503
18726,655
266,1504
134,20798
180,18699
20397,18724
20372,20357
11583,15800
50,16374
67,15789
200,103
18711,19221
15794,18917
271,19002
15790,15765
20384,20367
78,113
138,164
15767,15781
15775,19806
15763,18291
34,1504
286,19475
20930,97
1454,15790
20371,21044
187,18715
15766,280
18882,20392
18917,199
19748,127
73,119
147,68
15762,15787
207,119
16351,152
16374,16351
15757,167
18696,20387
15784,270
224,16503
112,19480
1146,15795
18695,20916
118,18736
101,73
15796,280
217,18715
20370,18725
18699,97
20355,21076
20642,20352
80,135
18736,164
13836,208
180,15800
56,15764
97,15765
18725,20916
20367,118
19016,154
173,15760
265,73
20559,16503
125,20415
15784,18713
16582,18693
245,18265
15767,50
244,135
38,18726
20387,20368
95,12
133,304
127,15765
17360,15762
246,181
252,20375
260,79
18291,56
18706,17267
112,366
152,20144
264,20385
101,207
191,17628
15785,225
18725,16728
206,20380
16582,19982
152,21083
15760,168
125,12
181,19569
20394,20384
88,130
162,79
172,16073
15776,112
21044,15770
18717,18715
5,95
20496,17628
156,264
20387,16180
164,1845
67,192
172,208
1845,18882
20389,20390
191,18917
19016,16503
182,21083
15790,168
15776,4434
18706,247
266,28
17990,18736
19807,18695
20366,20379
1504,280
155,197
260,213
16582,15794
208,23
134,74
194,1845
112,15776
185,39
84,20144
19196,19480
20378,20389
74,208
80,18712
187,85
266,378
138,20380
352,152
10107,16351
123,100
164,101
20365,1845
20941,15776
247,16351
197,18708
19002,366
252,18415
235,19000
19480,176
15774,200
20580,15770
286,11583
24,11583
43,15797
19948,18711
28,213
88,264
224,1845
129,265
15776,246
260,1502
18729,20364
201,141
18953,17628
273,18703
18691,17628
16351,20368
20368,49
18714,84
18715,15770
18701,20790
18830,18726
15757,20383
655,15772
20362,18701
18716,130
120,152
194,101
20962,20386
23,219
97,168
20380,18718
271,15782
18695,192
173,163
206,111
15789,77
21083,152
18701,18696
28,1502
15766,93
20383,19928
18695,20379
18953,18917
134,208
20361,167
18691,18917
20916,20391
111,224
20363,213
15767,668
127,168
113,270
187,219
19196,366
117,19637
16351,16180
247,270
352,286
18713,20369
19002,15776
164,235
178,21044
19919,172
278,15798
18265,207
139,178
15796,93
15798,139
18265,1146
15761,257
200,50
20384,127
18716,264
15792,15785
120,286
88,19996
18720,20385
21044,173
208,21044
20386,173
21075,20397
18278,38
15793,145
154,55
21083,286
15760,20384
260,15757
18882,152
18709,18691
113,18713
154,18714
19146,18692
18711,270
224,235
19196,15776
20381,20366
110,133
15784,217
19982,655
15764,15780
20393,189
184,55
176,20351
20599,18724
184,18714
20642,112
18716,18707
120,18729
20385,15762
20781,15762
116,17267
18718,286
163,117
278,67
20411,20366
18703,163
181,134
20580,173
14372,135
38,20767
18711,18713
18715,173
18278,172
67,5
16473,38
49,20367
20559,235
1845,18695
158,123
135,139
125,20362
18882,286
102,20378
15794,100
20363,15757
73,200
24,10107
1504,93
384,62
11702,88
18709,15792
187,15763
19146,15793
20527,138
164,15779
75,246
16503,38
264,145
19221,102
18718,18729
213,20367
187,19146
15764,3082
93,263
20051,19807
18882,20823
19000,21044
266,20378
21083,20368
352,16180
18699,178
278,201
20361,20383
181,268
139,16072
20798,18694
194,15779
15776,59
217,19146
18882,18729
15780,178
17360,20381
67,139
172,155
158,257
273,207
15788,18728
17141,271
200,668
120,16180
125,20496
