"numeric_id","original_id"
1,14854
2,14863
3,14873
4,15029
5,15433
6,15448
7,15454
8,15616
9,20104
10,20107
11,20119
12,20122
13,20124
14,20138
15,20145
16,20301
17,20305
18,20310
19,20316
20,20321
21,20322
22,20329
23,20342
24,20344
25,20355
26,20356
27,20501
28,20504
29,20517
30,20519
31,20521
32,20522
33,20529
34,20530
35,20533
36,20535
37,20537
38,20538
39,20703
40,20704
41,20706
42,20708
43,20709
44,20712
45,20724
46,20725
47,20729
48,20733
49,20738
50,20748
51,20749
52,20755
53,20756
54,20757
55,20758
56,20759
57,20903
58,20907
59,20909
60,20916
61,20920
62,20926
63,20927
64,20934
65,20946
66,20952
67,20954
68,20955
69,20958
70,21102
71,21103
72,21105
73,21106
74,21108
75,21116
76,21118
77,21123
78,21132
79,21139
80,21140
81,21142
82,21162
83,21167
84,21172
85,21174
86,21178
87,21179
88,21191
89,21196
90,21198
91,21302
92,21303
93,21304
94,21306
95,21307
96,21308
97,21309
98,21311
99,21312
100,21314
101,21315
102,21321
103,21326
104,21333
105,21337
106,21339
107,21340
108,21342
109,21343
110,21346
111,21351
112,21352
113,21353
114,21356
115,21358
116,21360
117,21362
118,21364
119,21365
120,21367
121,21368
122,21370
123,21371
124,21372
125,21373
126,21375
127,21500
128,21502
129,21503
130,21504
131,21506
132,21507
133,21508
134,21510
135,21513
136,21515
137,21516
138,21519
139,21523
140,21525
141,21526
142,21529
143,21531
144,21532
145,21536
146,21538
147,21541
148,21544
149,21545
150,21548
151,21551
152,21554
153,21556
154,21557
155,21559
156,21561
157,21562
158,21563
159,21564
160,21565
161,21566
162,21700
163,21701
164,21702
165,21703
166,21704
167,21705
168,21706
169,21709
170,21711
171,21714
172,21715
173,21717
174,21718
175,21719
176,21720
177,21722
178,21723
179,21724
180,21726
181,21727
182,21728
183,21730
184,21731
185,21735
186,21740
187,21741
188,21744
189,21745
190,21746
191,21749
192,21750
193,21753
194,21754
195,21755
196,21757
197,21758
198,21759
199,21760
200,21761
201,21762
202,21763
203,21900
204,21901
205,21903
206,21905
207,21906
208,21908
209,21910
210,21911
211,21912
212,21914
213,21915
214,21917
215,21919
216,21920
217,21921
218,21922
219,21923
220,21925
221,21926
222,21927
223,21930
224,21931
225,21934
226,21935
227,21936
228,21937
229,21938
230,21939
231,21944
232,21945
233,21946
234,21948
235,21949
236,21950
237,21951
238,21952
239,21953
240,21954
241,21955
242,21956
243,21959
244,21961
245,21962
246,21964
247,21965
248,21966
249,21968
250,21969
251,21970
252,21971
253,21972
254,21974
255,21975
256,21977
257,21978
258,21979
259,21981
260,21983
261,21986
262,21987
263,21988
264,21989
265,22100
266,22101
267,22102
268,22103
269,22105
270,22106
271,22107
272,22108
273,22110
274,22111
275,22112
276,22113
277,22114
278,22115
279,22116
280,22117
281,22118
282,22119
283,22120
284,22121
285,22122
286,22124
287,22125
288,22126
289,22129
290,22130
291,22131
292,22132
293,22133
294,22134
295,22135
296,22136
297,22138
298,22139
299,22140
300,22141
301,22142
302,22143
303,22145
304,22146
305,22147
306,22148
307,22149
308,22150
309,22151
310,22152
311,22153
312,22154
313,22155
314,22156
315,22157
316,22158
317,22159
318,22160
319,22161
320,22162
321,22163
322,22166
323,22167
324,22168
325,22169
326,22171
327,22300
328,22301
329,22302
330,22303
331,22304
332,22305
333,22306
334,22307
335,22308
336,22309
337,22310
338,22311
339,22312
340,22313
341,22314
342,22315
343,22316
344,22317
345,22318
346,22319
347,22320
348,22321
349,22322
350,22323
351,22324
352,22325
353,22326
354,22327
355,22328
356,22329
357,22330
358,22331
359,22332
360,22333
361,22334
362,22335
363,22336
364,22337
365,22338
366,22339
367,22340
368,22341
369,22342
370,22343
371,22344
372,22345
373,22346
374,22347
375,22348
376,22349
377,22350
378,22351
379,22352
380,22353
381,22354
382,22355
383,22356
384,22357
385,22358
386,22359
387,22360
388,22361
389,22362
390,22363
391,22364
392,22365
393,22366
394,22367
395,22368
396,22369
397,22370
398,22371
399,22372
400,29106
401,29109
402,29312
403,29323
404,29339
405,29368
406,29377
407,29378
408,29393
409,29504
410,29571
411,29573
412,29588
413,29701
414,29707
415,29710
416,29717
417,29729
418,29741
419,29759
420,29762
421,29768
422,29776
423,29778
424,29901
425,29903
426,29908
427,29910
428,29911
429,31101
430,31102
431,31103
432,39301
433,39307
434,91980
435,21992
436,21993
437,21994
438,21995
439,21996
440,22373
441,22374
442,22375
443,22376
444,21747
445,22377
446,22378
447,22379
448,22380
449,22381
450,22382
